Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PP549879.1		none				M	D	
PP549880.1		none				M	D	
PP549881.1		none				M	D	
PP549882.1		none				M	D	
PP549883.1		none				M	D	
PP549884.1		none				M	D	
PP549885.1		none				M	D	
PP587392.1		none				M	D	
PP587393.1		none				M	D	
PP658552.1		none				M	D	
PP658553.1		none				M	D	
PP661667.1		none				M	D	
OR844370.1		none				M	D	
OR844371.1		none				M	D	
OR844372.1		none				M	D	
OR844373.1		none				M	D	
OR844374.1		none				M	D	
OR844375.1		none				M	D	
OR844376.1		none				M	D	
OR844377.1		none				M	D	
OR844378.1		none				M	D	
OR844379.1		none				M	D	
OR844380.1		none				M	D	
OR844381.1		none				M	D	
OR844382.1		none				M	D	
OR844383.1		none				M	D	
PP381824.1		none				M	D	
OR062612.1		none				M	D	
OR262325.1		none				M	D	
OQ940068.1		none				M	D	
OQ940069.1		none				M	D	
OQ940070.1		none				M	D	
OQ940071.1		none				M	D	
OQ940072.1		none				M	D	
OQ940073.1		none				M	D	
OQ940074.1		none				M	D	
OQ940075.1		none				M	D	
OQ940076.1		none				M	D	
OQ940077.1		none				M	D	
OQ940078.1		none				M	D	
OQ940079.1		none				M	D	
OQ940080.1		none				M	D	
OQ940081.1		none				M	D	
OQ940082.1		none				M	D	
OP901694.1		none				M	D	
OP686903.1		none				M	D	
OP689689.1		none				M	D	
OP690427.1		none				M	D	
OP712198.1		none				M	D	
OP712199.1		none				M	D	
OP037976.1		none				M	D	
OP037977.1		none				M	D	
OP037978.1		none				M	D	
OP037979.1		none				M	D	
OP037980.1		none				M	D	
OP037981.1		none				M	D	
OP037982.1		none				M	D	
OP037983.1		none				M	D	
ON329737.1		none				M	D	
OL898508.1		none				M	D	
OL898509.1		none				M	D	
OL898510.1		none				M	D	
OL898512.1		none				M	D	
OL898514.1		none				M	D	
OL898515.1		none				M	D	
OL898516.1		none				M	D	
OL913976.1		none				M	D	
OL913977.1		none				M	D	
OL943799.1		none				M	D	
OL943800.1		none				M	D	
NC_039477.1		none				M	D	
NC_044932.1		none				M	D	
MZ291631.1		none				M	D	
MZ233536.1		none				M	D	
MW661264.1		none				M	D	
MW661278.1		none				M	D	
MW661281.1		none				M	D	
MW661282.1		none				M	D	
MT712130.1		none				M	D	
MT712147.1		none				M	D	
MT712157.1		none				M	D	
MT725762.1		none				M	D	
MT726225.1		none				M	D	
MT729791.1		none				M	D	
MN853414.1		none				M	D	
MN897754.1		none				M	D	
MN897755.1		none				M	D	
MN897756.1		none				M	D	
MT026582.1		none				M	D	
MT028542.1		none				M	D	
MT029316.1		none				M	D	
MT031761.1		none				M	D	
MT031821.1		none				M	D	
MT032004.1		none				M	D	
MT238671.1		none				M	D	
MN400355.2		none				M	D	
MN453358.1		none				M	D	
MN453359.1		none				M	D	
MN525276.1		none				M	D	
MK752936.1		none				M	D	
MK752938.1		none				M	D	
MK753015.1		none				M	D	
MK753032.1		none				M	D	
MK762621.1		none				M	D	
MK762624.1		none				M	D	
MK762635.1		none				M	D	
MK762638.1		none				M	D	
MK764016.1		none				M	D	
MK773584.1		none				M	D	
MK789432.1		none				M	D	
MK789435.1		none				M	D	
MK934772.1		none				M	D	
MK629457.1		none				M	D	
MK483908.2		none				M	D	
MK483909.2		none				M	D	
MH979230.1		none				M	D	
MK282256.1		none				M	D	
MK282257.1		none				M	D	
MK282258.1		none				M	D	
MH413070.1		none				M	D	
MH218599.1		none				M	D	
MH218605.1		none				M	D	
MH218606.1		none				M	D	
MH218607.1		none				M	D	
MH218608.1		none				M	D	
MH218609.1		none				M	D	
MH218610.1		none				M	D	
MH218611.1		none				M	D	
MH218612.1		none				M	D	
MH218613.1		none				M	D	
MH218615.1		none				M	D	
MH218616.1		none				M	D	
MH218617.1		none				M	D	
MH218619.1		none				M	D	
MH218624.1		none				M	D	
MH218625.1		none				M	D	
MH218626.1		none				M	D	
MH218627.1		none				M	D	
MH218628.1		none				M	D	
MH218629.1		none				M	D	
MH218631.1		none				M	D	
MH218632.1		none				M	D	
MH218633.1		none				M	D	
MH218636.1		none				M	D	
MH218638.1		none				M	D	
MH218652.1		none				M	D	
MH218662.1		none				M	D	
MH218663.1		none				M	D	
MH218665.1		none				M	D	
MH218669.1		none				M	D	
MH218670.1		none				M	D	
MH218674.1		none				M	D	
MH218684.1		none				M	D	
MH218685.1		none				M	D	
MH218689.1		none				M	D	
MH218691.1		none				M	D	
MH218694.1		none				M	D	
MH218695.1		none				M	D	
MH218699.1		none				M	D	
MH218700.1		none				M	D	
MH218701.1		none				M	D	
MH218702.1		none				M	D	
MH218705.1		none				M	D	
MH218707.1		none				M	D	
MH218708.1		none				M	D	
MH218709.1		none				M	D	
MH218710.1		none				M	D	
MH218711.1		none				M	D	
MH218714.1		none				M	D	
MH218715.1		none				M	D	
MH218716.1		none				M	D	
MH218718.1		none				M	D	
MG892929.3		none				M	D	
MG692610.1		none				M	D	
MG706448.1		none				M	D	
MG049692.1		none				M	D	
MG548737.1		none				M	D	
MG572719.1		none				M	D	
MG572730.1		none				M	D	
MG572731.1		none				M	D	
MG572732.1		none				M	D	
MF352142.1		none				M	D	
MF352143.1		none				M	D	
MF352144.1		none				M	D	
LC868426.1		none				M	D	
LC868427.1		none				M	D	
LC868428.1		none				M	D	
LC868429.1		none				M	D	
LC868430.1		none				M	D	
LC868431.1		none				M	D	
LC868432.1		none				M	D	
LC868433.1		none				M	D	
LC868434.1		none				M	D	
LC868435.1		none				M	D	
LC868436.1		none				M	D	
LC868437.1		none				M	D	
LC868438.1		none				M	D	
LC918507.1		none				M	D	
LC918508.1		none				M	D	
LC918509.1		none				M	D	
LC918510.1		none				M	D	
LC918511.1		none				M	D	
LC918512.1		none				M	D	
LC918513.1		none				M	D	
LC918514.1		none				M	D	
LC918515.1		none				M	D	
LC918516.1		none				M	D	
LC918517.1		none				M	D	
LC918518.1		none				M	D	
LC918519.1		none				M	D	
LC918520.1		none				M	D	
LC918521.1		none				M	D	
LC918522.1		none				M	D	
LC918523.1		none				M	D	
LC918524.1		none				M	D	
LC919492.1		none				M	D	
LC769683.1		none				M	D	
LC769684.1		none				M	D	
LC769685.1		none				M	D	
LC769688.1		none				M	D	
LC769691.1		none				M	D	
LC769692.1		none				M	D	
LC769693.1		none				M	D	
LC769694.1		none				M	D	
LC769695.1		none				M	D	
LC769696.1		none				M	D	
LC769697.1		none				M	D	
LC769698.1		none				M	D	
LC769699.1		none				M	D	
LC769704.1		none				M	D	
LC769705.1		none				M	D	
LC769707.1		none				M	D	
LC769708.1		none				M	D	
LC769714.1		none				M	D	
LC777250.1		none				M	D	
LC369214.1		none				M	D	
LC369215.1		none				M	D	
LC369216.1		none				M	D	
LC369217.1		none				M	D	
LC369218.1		none				M	D	
LC369219.1		none				M	D	
LC369220.1		none				M	D	
LC369221.1		none				M	D	
LC369222.1		none				M	D	
LC369224.1		none				M	D	
LC369225.1		none				M	D	
LC369227.1		none				M	D	
LC369228.1		none				M	D	
LC369229.1		none				M	D	
LC369230.1		none				M	D	
LC369231.1		none				M	D	
LC369232.1		none				M	D	
LC369233.1		none				M	D	
LC369234.1		none				M	D	
LC369235.1		none				M	D	
LC369236.1		none				M	D	
LC369237.1		none				M	D	
LC369238.1		none				M	D	
LC369239.1		none				M	D	
LC369240.1		none				M	D	
LC369241.1		none				M	D	
LC369242.1		none				M	D	
LC369243.1		none				M	D	
LC369244.1		none				M	D	
LC369245.1		none				M	D	
LC369246.1		none				M	D	
LC369247.1		none				M	D	
LC369248.1		none				M	D	
LC369249.1		none				M	D	
LC369251.1		none				M	D	
LC369252.1		none				M	D	
LC369253.1		none				M	D	
LC369254.1		none				M	D	
LC369255.1		none				M	D	
LC369256.1		none				M	D	
LC369257.1		none				M	D	
LC369258.1		none				M	D	
KY905331.1		none				M	D	
KY496327.1		none				M	D	
KY210980.3		none				M	D	
KX586330.1		none				M	D	
KF920739.4		none				M	D	
HM596590.4		none				M	D	
PZ059667.1		none				M	D	
PZ059668.1		none				M	D	
PZ059669.1		none				M	D	
PZ059670.1		none				M	D	
PZ059671.1		none				M	D	
PZ059672.1		none				M	D	
PV902474.1		none				M	D	
PV765565.1		none				M	D	
PV765568.1		none				M	D	
PV765570.1		none				M	D	
PV746275.1		none				M	D	
PV746276.1		none				M	D	
PV746277.1		none				M	D	
PV746278.1		none				M	D	
PV655189.1		none				M	D	
PV588655.1		none				M	D	
PV588656.1		none				M	D	
PV588657.1		none				M	D	
PV588658.1		none				M	D	
PV588796.1		none				M	D	
PV588797.1		none				M	D	
PP498989.1		none				M	D	
PP381831.1		none				M	D	
PP267279.1		none				M	D	
PP267284.1		none				M	D	
PP267285.1		none				M	D	
PP267298.1		none				M	D	
OP691294.1		none				M	D	
OP691295.1		none				M	D	
OP609644.1		none				M	D	
OP609645.1		none				M	D	
OP609646.1		none				M	D	
MW581004.1		none				M	D	
MW581005.1		none				M	D	
MW581006.1		none				M	D	
MW581007.1		none				M	D	
MW581008.1		none				M	D	
MW581009.1		none				M	D	
MW581010.1		none				M	D	
MW581011.1		none				M	D	
MW581012.1		none				M	D	
MZ291623.1		none				M	D	
MZ291632.1		none				M	D	
MZ291634.1		none				M	D	
MZ265142.1		none				M	D	
MZ233435.1		none				M	D	
MW661247.1		none				M	D	
MW661251.1		none				M	D	
MW661252.1		none				M	D	
MW661254.1		none				M	D	
MW661258.1		none				M	D	
MW661259.1		none				M	D	
MW661260.1		none				M	D	
MW661261.1		none				M	D	
MW661279.1		none				M	D	
MW661280.1		none				M	D	
MW661283.1		none				M	D	
MT233268.1		none				M	D	
MT218311.1		none				M	D	
MT158858.1		none				M	D	
MT158859.1		none				M	D	
MT158860.1		none				M	D	
MT158861.1		none				M	D	
MN307993.1		none				M	D	
MN307995.1		none				M	D	
MN307996.1		none				M	D	
MN307997.1		none				M	D	
MN307998.1		none				M	D	
MN307999.1		none				M	D	
MN308001.1		none				M	D	
MN308002.1		none				M	D	
MN308003.1		none				M	D	
MN308008.1		none				M	D	
MN308010.1		none				M	D	
MN308012.1		none				M	D	
MN308014.1		none				M	D	
MN308015.1		none				M	D	
MN308017.1		none				M	D	
MN308018.1		none				M	D	
MN308019.1		none				M	D	
MN308020.1		none				M	D	
MK775032.1		none				M	D	
MK773585.1		none				M	D	
MK762558.1		none				M	D	
MK762564.1		none				M	D	
MK762566.1		none				M	D	
MK762568.1		none				M	D	
MK762627.1		none				M	D	
MK762629.1		none				M	D	
MK762632.1		none				M	D	
MK762636.1		none				M	D	
MK762637.1		none				M	D	
MK762746.1		none				M	D	
MK764013.1		none				M	D	
MK764015.1		none				M	D	
MK764021.1		none				M	D	
MK764041.1		none				M	D	
MK752934.1		none				M	D	
MK752937.1		none				M	D	
MK752942.1		none				M	D	
MK753036.1		none				M	D	
MK754442.1		none				M	D	
MK754445.1		none				M	D	
MK754447.1		none				M	D	
MK756034.1		none				M	D	
MK756035.1		none				M	D	
MG214988.1		none				M	D	
MG002632.1		none				M	D	
MG002634.1		none				M	D	
PQ196508.1		none				M	D	
PQ196514.1		none				M	D	
PQ196516.1		none				M	D	
PQ196517.1		none				M	D	
PQ196518.1		none				M	D	
PQ196520.1		none				M	D	
PQ196528.1		none				M	D	
PQ196529.1		none				M	D	
PQ196561.1		none				M	D	
PQ196562.1		none				M	D	
PV297973.1		none				M	D	
PV275055.1		none				M	D	
PV275057.1		none				M	D	
PV275059.1		none				M	D	
OR700746.1		none				M	D	
OR051787.1		none				M	D	
OR051927.1		none				M	D	
OR065073.1		none				M	D	
OR065090.1		none				M	D	
MZ478140.1		none				M	D	
OL721917.1		none				M	D	
LC597112.1		none				M	D	
MT735394.1		none				M	D	
MN588299.1		none				M	D	
MN588300.1		none				M	D	
MN588301.1		none				M	D	
MN588302.1		none				M	D	
MN588303.1		none				M	D	
MN588304.1		none				M	D	
MN588305.1		none				M	D	
MN588306.1		none				M	D	
MN588307.1		none				M	D	
MW009068.1		none				M	D	
MW009072.1		none				M	D	
KY947546.1		none				M	D	
KY947547.1		none				M	D	
KY947549.1		none				M	D	
KY947550.1		none				M	D	
OR793083.1		none				M	D	
OR793084.1		none				M	D	
PV750886.1		none				M	D	
PV750898.1		none				M	D	
PV784278.1		none				M	D	
PV784280.1		none				M	D	
PQ475911.1		none				M	D	
PQ482378.1		none				M	D	
PQ482379.1		none				M	D	
PQ482380.1		none				M	D	
PQ195879.1		none				M	D	
PQ195881.1		none				M	D	
PQ195882.1		none				M	D	
PQ195883.1		none				M	D	
PQ195885.1		none				M	D	
PQ195886.1		none				M	D	
PQ195887.1		none				M	D	
PQ195888.1		none				M	D	
PQ195889.1		none				M	D	
PQ195890.1		none				M	D	
PQ195892.1		none				M	D	
PQ195894.1		none				M	D	
PQ195895.1		none				M	D	
PQ195899.1		none				M	D	
PQ195900.1		none				M	D	
PQ195901.1		none				M	D	
PQ195902.1		none				M	D	
PQ195903.1		none				M	D	
PQ195908.1		none				M	D	
PQ195909.1		none				M	D	
PQ195910.1		none				M	D	
PQ195911.1		none				M	D	
PQ195912.1		none				M	D	
PQ195913.1		none				M	D	
PQ195914.1		none				M	D	
PQ195915.1		none				M	D	
PQ195916.1		none				M	D	
PQ195917.1		none				M	D	
PQ195919.1		none				M	D	
PQ195920.1		none				M	D	
PQ195921.1		none				M	D	
PQ195922.1		none				M	D	
PQ195923.1		none				M	D	
PQ195924.1		none				M	D	
PQ195925.1		none				M	D	
PQ195926.1		none				M	D	
PQ195927.1		none				M	D	
PQ195928.1		none				M	D	
PQ195929.1		none				M	D	
PQ195930.1		none				M	D	
PQ195931.1		none				M	D	
PQ195932.1		none				M	D	
PQ195933.1		none				M	D	
PQ195934.1		none				M	D	
PQ195935.1		none				M	D	
PQ195936.1		none				M	D	
PQ195937.1		none				M	D	
PQ195938.1		none				M	D	
PQ195939.1		none				M	D	
PQ195940.1		none				M	D	
PQ195942.1		none				M	D	
PQ195943.1		none				M	D	
PQ195944.1		none				M	D	
PQ195945.1		none				M	D	
PQ195946.1		none				M	D	
PQ195947.1		none				M	D	
PQ195948.1		none				M	D	
PQ195949.1		none				M	D	
PQ195950.1		none				M	D	
PQ195951.1		none				M	D	
PQ195952.1		none				M	D	
PQ207921.1		none				M	D	
PQ207925.1		none				M	D	
PQ207926.1		none				M	D	
PQ207927.1		none				M	D	
PQ207928.1		none				M	D	
PQ207933.1		none				M	D	
PQ207934.1		none				M	D	
PQ207937.1		none				M	D	
PQ207946.1		none				M	D	
PQ207947.1		none				M	D	
PQ208315.1		none				M	D	
PQ208317.1		none				M	D	
PQ208326.1		none				M	D	
PQ214832.1		none				M	D	
PQ214835.1		none				M	D	
PQ214837.1		none				M	D	
PQ219041.1		none				M	D	
PQ641315.1		none				M	D	
PQ507174.1		none				M	D	
PQ507178.1		none				M	D	
PQ507179.1		none				M	D	
PQ373119.1		none				M	D	
PQ373125.1		none				M	D	
PQ373130.1		none				M	D	
PQ373134.1		none				M	D	
PQ373135.1		none				M	D	
PQ373136.1		none				M	D	
PQ373137.1		none				M	D	
PQ373141.1		none				M	D	
PQ373143.1		none				M	D	
PQ373144.1		none				M	D	
PQ373145.1		none				M	D	
PQ373146.1		none				M	D	
OP205527.1		none				M	D	
OP205566.1		none				M	D	
OP205579.1		none				M	D	
OP205580.1		none				M	D	
OP205582.1		none				M	D	
OR084257.1		none				M	D	
OR084258.1		none				M	D	
OR084259.1		none				M	D	
OR084260.1		none				M	D	
OR084262.1		none				M	D	
OR084263.1		none				M	D	
OR084264.1		none				M	D	
OP805360.1		none				M	D	
OP805361.1		none				M	D	
MT362912.1		none				M	D	
MK928496.1		none				M	D	
MK928497.1		none				M	D	
MK928498.1		none				M	D	
MK928499.1		none				M	D	
MH260483.1		none				M	D	
MH260484.1		none				M	D	
MH260485.1		none				M	D	
MH260488.1		none				M	D	
MH260490.1		none				M	D	
MH260492.1		none				M	D	
MH260502.1		none				M	D	
MH260504.1		none				M	D	
PQ308684.1		none				M	D	
PQ308685.1		none				M	D	
PQ308686.1		none				M	D	
PQ308687.1		none				M	D	
PQ308689.1		none				M	D	
PQ310124.1		none				M	D	
PQ310126.1		none				M	D	
PQ310127.1		none				M	D	
PQ310128.1		none				M	D	
PQ310129.1		none				M	D	
PQ310130.1		none				M	D	
PQ310131.1		none				M	D	
PQ310234.1		none				M	D	
PQ310236.1		none				M	D	
PQ304612.1		none				M	D	
PQ304613.1		none				M	D	
PP658551.1		none				M	D	
PP658557.1		none				M	D	
PP658559.1		none				M	D	
PP658560.1		none				M	D	
PP658561.1		none				M	D	
PP564826.1		none				M	D	
PP564827.1		none				M	D	
PP564828.1		none				M	D	
PP564829.1		none				M	D	
PP564830.1		none				M	D	
PP564831.1		none				M	D	
PP564832.1		none				M	D	
PP564833.1		none				M	D	
PP564834.1		none				M	D	
MN525275.1		none				M	D	
KC962462.3		none				M	D	
