Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PQ195945.1		none				M	D	
PQ195946.1		none				M	D	
PQ195947.1		none				M	D	
PQ195948.1		none				M	D	
PQ195949.1		none				M	D	
PQ195950.1		none				M	D	
PQ195951.1		none				M	D	
PQ195952.1		none				M	D	
PQ207921.1		none				M	D	
PQ207925.1		none				M	D	
PQ207926.1		none				M	D	
PQ207927.1		none				M	D	
PQ207928.1		none				M	D	
PQ207933.1		none				M	D	
PQ207934.1		none				M	D	
PQ207937.1		none				M	D	
PQ207946.1		none				M	D	
PQ207947.1		none				M	D	
PQ208315.1		none				M	D	
PQ208317.1		none				M	D	
PQ208326.1		none				M	D	
PQ214832.1		none				M	D	
PQ214835.1		none				M	D	
PQ214837.1		none				M	D	
PQ219041.1		none				M	D	
PQ507173.1		none				M	D	
PQ507174.1		none				M	D	
PQ507178.1		none				M	D	
PQ507179.1		none				M	D	
PQ442935.1		none				M	D	
PQ442936.1		none				M	D	
PQ442937.1		none				M	D	
PQ373128.1		none				M	D	
OP205527.1		none				M	D	
OP205541.1		none				M	D	
OP205566.1		none				M	D	
OP205577.1		none				M	D	
OP205578.1		none				M	D	
OP205579.1		none				M	D	
OP205580.1		none				M	D	
OP205582.1		none				M	D	
OR084256.1		none				M	D	
OR084257.1		none				M	D	
OR084258.1		none				M	D	
OR084259.1		none				M	D	
OR084260.1		none				M	D	
OR084262.1		none				M	D	
OR084263.1		none				M	D	
OR084264.1		none				M	D	
OK376252.1		none				M	D	
MT362912.1		none				M	D	
MT409884.1		none				M	D	
MK928496.1		none				M	D	
MK928497.1		none				M	D	
MK928498.1		none				M	D	
MK928499.1		none				M	D	
MH260483.1		none				M	D	
MH260484.1		none				M	D	
MH260485.1		none				M	D	
MH260488.1		none				M	D	
MH260490.1		none				M	D	
MH260492.1		none				M	D	
MH260502.1		none				M	D	
MH260504.1		none				M	D	
PX285873.1		none				M	D	
PP658551.1		none				M	D	
PP658555.1		none				M	D	
PP658557.1		none				M	D	
PP658559.1		none				M	D	
PP658560.1		none				M	D	
PP658561.1		none				M	D	
PP645200.1		none				M	D	
PP564826.1		none				M	D	
PP564827.1		none				M	D	
PP564828.1		none				M	D	
PP564829.1		none				M	D	
PP564830.1		none				M	D	
PP564831.1		none				M	D	
PP564832.1		none				M	D	
PP564833.1		none				M	D	
PP564834.1		none				M	D	
MN525275.1		none				M	D	
MN493873.1		none				M	D	
KC962462.3		none				M	D	
