Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PQ208320.1		none				M	D	
PQ208321.1		none				M	D	
PQ208322.1		none				M	D	
PQ208323.1		none				M	D	
PQ208326.1		none				M	D	
PQ208327.1		none				M	D	
PQ208328.1		none				M	D	
PQ208329.1		none				M	D	
PQ214832.1		none				M	D	
PQ214835.1		none				M	D	
PQ215524.1		none				M	D	
PQ215526.1		none				M	D	
PQ219041.1		none				M	D	
PQ507174.1		none				M	D	
PQ507178.1		none				M	D	
PQ507179.1		none				M	D	
PQ442935.1		none				M	D	
PQ442936.1		none				M	D	
PQ442937.1		none				M	D	
PQ373119.1		none				M	D	
PQ373125.1		none				M	D	
PQ373130.1		none				M	D	
PQ373134.1		none				M	D	
PQ373135.1		none				M	D	
PQ373136.1		none				M	D	
PQ373137.1		none				M	D	
PQ373141.1		none				M	D	
PQ373143.1		none				M	D	
PQ373144.1		none				M	D	
PQ373145.1		none				M	D	
PQ373146.1		none				M	D	
OP205527.1		none				M	D	
OP205566.1		none				M	D	
OP205577.1		none				M	D	
OP205578.1		none				M	D	
OP205579.1		none				M	D	
OP205580.1		none				M	D	
OP205582.1		none				M	D	
OR084257.1		none				M	D	
OR084258.1		none				M	D	
OR084259.1		none				M	D	
OR084260.1		none				M	D	
OR084262.1		none				M	D	
OR084263.1		none				M	D	
OR084264.1		none				M	D	
OP805360.1		none				M	D	
OP805361.1		none				M	D	
MT362912.1		none				M	D	
MT409884.1		none				M	D	
MK928496.1		none				M	D	
MK928497.1		none				M	D	
MK928498.1		none				M	D	
MK928499.1		none				M	D	
MH260483.1		none				M	D	
MH260484.1		none				M	D	
MH260485.1		none				M	D	
MH260488.1		none				M	D	
MH260490.1		none				M	D	
MH260492.1		none				M	D	
MH260502.1		none				M	D	
MH260504.1		none				M	D	
PX285873.1		none				M	D	
PQ308684.1		none				M	D	
PQ308685.1		none				M	D	
PQ308686.1		none				M	D	
PQ308687.1		none				M	D	
PQ308689.1		none				M	D	
PQ310124.1		none				M	D	
PQ310126.1		none				M	D	
PQ310127.1		none				M	D	
PQ310128.1		none				M	D	
PQ310129.1		none				M	D	
PQ310130.1		none				M	D	
PQ310131.1		none				M	D	
PQ310234.1		none				M	D	
PQ310236.1		none				M	D	
PQ304612.1		none				M	D	
PQ304613.1		none				M	D	
PP658551.1		none				M	D	
PP658555.1		none				M	D	
PP658557.1		none				M	D	
PP658561.1		none				M	D	
PP645200.1		none				M	D	
PP564826.1		none				M	D	
PP564827.1		none				M	D	
PP564828.1		none				M	D	
MN525275.1		none				M	D	
KC962462.3		none				M	D	
