Genome	reverse_primer_1
PQ100946.1	lin R2-
PQ100947.1	lin R2-
PQ100948.1	lin R2-
PQ100949.1	lin R2-
PP498986.1	none
PP498987.1	none
PP498988.1	none
PP549876.1	lin R2-
PP549877.1	lin R2-
PP549878.1	lin R2-
PP549879.1	lin R2-
PP549880.1	lin R2-
PP549881.1	lin R2-
PP549882.1	lin R2-
PP549883.1	lin R2-
PP549884.1	lin R2-
PP549885.1	lin R2-
PP587392.1	lin R2-
PP587393.1	lin R2-
PP658552.1	none
PP658553.1	lin R2-
PP661667.1	lin R2-
OR844370.1	none
OR844371.1	none
OR844372.1	none
OR844373.1	none
OR844374.1	none
OR844375.1	none
OR844376.1	none
OR844377.1	none
OR844378.1	none
OR844379.1	none
OR844380.1	none
OR844381.1	none
OR844382.1	none
OR844383.1	none
PP381824.1	lin R2-
OR062612.1	lin R2-
OR262325.1	none
OR536466.1	none
OR536467.1	none
OR536468.1	none
OR536469.1	none
OR536470.1	none
OR536472.1	none
OR536473.1	none
OR536475.1	lin R2-
OR536476.1	none
OR536477.1	none
OR536478.1	none
OR536479.1	none
OR536480.1	none
OR536481.1	none
OR536482.1	none
OR536483.1	none
OR536484.1	none
OR536485.1	none
OR536486.1	none
OR536487.1	none
OR536488.1	none
OR536489.1	none
OR536490.1	none
OR536491.1	none
OR536492.1	none
OQ940068.1	none
OQ940069.1	none
OQ940070.1	none
OQ940071.1	none
OQ940072.1	none
OQ940073.1	none
OQ940074.1	none
OQ940075.1	none
OQ940076.1	none
OQ940077.1	none
OQ940078.1	none
OQ940079.1	none
OQ940080.1	none
OQ940081.1	none
OQ940082.1	none
OP901692.1	lin R1-
OP901693.1	none
OP901694.1	none
OQ342793.1	none
OP686903.1	lin R1-
OP686904.1	lin R2-
OP689557.1	none
OP689558.1	none
OP689689.1	lin R2-
OP690425.1	lin R1-
OP690426.1	lin R1-
OP690427.1	lin R2-
OP690505.1	none
OP712196.1	lin R1-
OP712197.1	none
OP712198.1	none
OP712199.1	lin R2-
OP037976.1	none
OP037977.1	none
OP037978.1	none
OP037979.1	none
OP037980.1	none
OP037981.1	none
OP037982.1	none
OP037983.1	none
ON329737.1	lin R2-
ON569431.1	none
OK376253.1	none
OK376254.1	none
OK376255.1	none
OK376256.1	none
OK376258.1	none
OK376259.1	none
OK376260.1	none
OK376261.1	none
OK376262.1	none
OK376263.1	none
OK376264.1	none
OL451532.1	none
OL451533.1	none
OL898506.1	lin R2-
OL898507.1	none
OL898508.1	none
OL898509.1	none
OL898510.1	none
OL898511.1	lin R2-
OL898512.1	none
OL898513.1	lin R1-
OL898514.1	none
OL898515.1	none
OL898516.1	none
OL913975.1	none
OL913976.1	none
OL913977.1	none
OL943799.1	none
OL943800.1	none
OL943801.1	none
OL943802.1	lin R1-
NC_039477.1	none
NC_040876.1	lin R1-
NC_044932.1	none
MZ291631.1	lin R2-
MZ312111.1	lin R1-
MW981327.1	lin R2-
MZ233536.1	none
MZ268408.1	none
MW661246.1	none
MW661253.1	lin R1-
MW661264.1	none
MW661266.1	lin R2-
MW661271.1	lin R2-
MW661272.1	lin R2-
MW661273.1	none
MW661274.1	lin R1-
MW661275.1	lin R1-
MW661278.1	none
MW661281.1	none
MW661282.1	none
MW661284.1	lin R1-
MW243610.2	lin R1-
MW305737.1	lin R1-
MT712130.1	lin R2-
MT712147.1	lin R2-
MT712157.1	none
MT720841.1	none
MT724793.1	none
MT725762.1	none
MT726225.1	lin R2-
MT729788.1	lin R2-
MT729791.1	lin R2-
MT731279.1	lin R1-
MT731332.1	lin R2-
MT738527.1	none
MT755733.1	none
MN853414.1	lin R2-
MN897754.1	none
MN897755.1	none
MN897756.1	none
MT026582.1	none
MT028542.1	lin R2-
MT029316.1	none
MT031761.1	none
MT031821.1	none
MT032004.1	none
MT232050.1	lin R2-
MT238671.1	none
MN400355.2	none
MN447470.1	none
MN447471.1	none
MN453358.1	none
MN453359.1	none
MN525276.1	none
MK752935.1	lin R2-
MK752936.1	none
MK752938.1	none
MK753015.1	none
MK753032.1	none
MK762621.1	none
MK762624.1	none
MK762635.1	none
MK762638.1	none
MK764016.1	none
MK764040.1	none
MK773584.1	none
MK789432.1	lin R2-
MK789435.1	none
MK934772.1	none
MK629457.1	none
MK641589.1	lin R1-
MK483908.2	none
MK483909.2	none
MH979229.1	none
MH979230.1	none
MK282256.1	lin R2-
MK282257.1	lin R2-
MK282258.1	lin R2-
MH413070.1	none
MH671553.1	none
MH218570.1	none
MH218571.1	lin R1-
MH218572.1	none
MH218573.1	none
MH218574.1	none
MH218575.1	none
MH218576.1	none
MH218577.1	none
MH218578.1	none
MH218579.1	none
MH218580.1	none
MH218581.1	none
MH218582.1	none
MH218583.1	none
MH218584.1	none
MH218585.1	none
MH218586.1	none
MH218587.1	none
MH218588.1	none
MH218589.1	none
MH218590.1	none
MH218591.1	lin R1-
MH218592.1	none
MH218593.1	none
MH218594.1	none
MH218595.1	none
MH218596.1	none
MH218597.1	none
MH218598.1	none
MH218599.1	none
MH218600.1	none
MH218601.1	none
MH218602.1	none
MH218603.1	none
MH218604.1	none
MH218605.1	lin R2-
MH218606.1	none
MH218607.1	none
MH218608.1	none
MH218609.1	none
MH218610.1	none
MH218611.1	none
MH218612.1	none
MH218613.1	none
MH218614.1	lin R2-
MH218615.1	none
MH218616.1	none
MH218617.1	none
MH218618.1	none
MH218619.1	none
MH218620.1	lin R2-
MH218621.1	lin R2-
MH218622.1	lin R2-
MH218623.1	lin R2-
MH218624.1	none
MH218625.1	none
MH218626.1	none
MH218627.1	none
MH218628.1	none
MH218629.1	none
MH218630.1	none
MH218631.1	none
MH218632.1	none
MH218633.1	none
MH218634.1	lin R2-
MH218635.1	lin R2-
MH218636.1	none
MH218637.1	lin R2-
MH218638.1	none
MH218639.1	lin R1-
MH218640.1	lin R1-
MH218641.1	lin R2-
MH218642.1	lin R1-
MH218643.1	lin R1-
MH218644.1	lin R1-
MH218645.1	lin R1-
MH218646.1	none
MH218650.1	lin R1-
MH218651.1	none
MH218652.1	none
MH218653.1	none
MH218654.1	none
MH218655.1	none
MH218657.1	none
MH218658.1	lin R1-
MH218660.1	none
MH218661.1	lin R2-
MH218662.1	none
MH218663.1	none
MH218665.1	none
MH218666.1	lin R1-
MH218667.1	lin R1-
MH218668.1	none
MH218669.1	none
MH218670.1	none
MH218671.1	none
MH218672.1	none
MH218673.1	lin R1-
MH218674.1	none
MH218675.1	none
MH218676.1	none
MH218677.1	none
MH218678.1	none
MH218679.1	none
MH218680.1	none
MH218681.1	none
MH218682.1	none
MH218683.1	none
MH218684.1	none
MH218685.1	none
MH218686.1	none
MH218687.1	lin R1-
MH218688.1	none
MH218689.1	lin R2-
MH218690.1	none
MH218691.1	none
MH218692.1	lin R2-
MH218693.1	none
MH218694.1	none
MH218695.1	none
MH218696.1	none
MH218697.1	none
MH218698.1	lin R2-
MH218699.1	none
MH218700.1	none
MH218701.1	none
MH218702.1	none
MH218703.1	lin R2-
MH218704.1	lin R2-
MH218705.1	none
MH218706.1	lin R2-
MH218707.1	none
MH218708.1	none
MH218709.1	none
MH218710.1	none
MH218711.1	none
MH218712.1	none
MH218713.1	lin R2-
MH218714.1	none
MH218715.1	none
MH218716.1	none
MH218717.1	none
MH218718.1	none
MH218719.1	lin R1-
MH218731.1	lin R2-
MH218732.1	none
MH218733.1	none
MH218734.1	none
MH218735.1	none
MH218736.1	none
MH218737.1	none
MH218738.1	none
MH321825.1	none
MG892908.3	none
MG892929.3	none
MG892946.3	none
MG892953.3	none
MG892974.3	none
MG692610.1	lin R2-
MG706448.1	none
MG745985.1	none
MG745986.1	none
MG745987.1	none
MG745988.1	none
MG745989.1	none
MG745990.1	none
MG745991.1	none
MG745992.1	none
MG745993.1	none
MG745994.1	none
MG745995.1	lin R2-
MG745996.1	lin R2-
MG745997.1	none
MG745998.1	none
MG745999.1	none
MG746000.1	none
MG746001.1	none
MG746002.1	none
MG746003.1	none
MG746004.1	none
MG746005.1	none
MG746006.1	none
MG746007.1	none
MG746008.1	none
MG746009.1	none
MG746010.1	none
MG746011.1	none
MG746012.1	none
MG746013.1	none
MG746014.1	none
MG746015.1	lin R2-
MG746016.1	none
MG746017.1	none
MG746018.1	none
MG746019.1	none
MG746020.1	none
MG746021.1	none
MG746022.1	none
MG746023.1	none
MG746024.1	none
MG746025.1	none
MG746026.1	none
MG746027.1	none
MG746028.1	none
MG746029.1	none
MG746030.1	none
MG746031.1	none
MG746032.1	none
MG746033.1	none
MG746034.1	none
MG746035.1	none
MG746036.1	none
MG746037.1	none
MG746038.1	none
MG746039.1	none
MG746040.1	none
MG746041.1	none
MG746042.1	none
MG746043.1	none
MG746044.1	none
MG746045.1	none
MG049692.1	none
MG548737.1	none
MG572182.1	none
MG572719.1	lin R2-
MG572730.1	lin R2-
MG572731.1	lin R2-
MG572732.1	lin R2-
MF352142.1	lin R2-
MF352143.1	lin R2-
MF352144.1	lin R2-
LC868426.1	lin R2-
LC868427.1	lin R2-
LC868428.1	lin R2-
LC868429.1	lin R2-
LC868430.1	lin R2-
LC868431.1	lin R2-
LC868432.1	lin R2-
LC868433.1	lin R2-
LC868434.1	lin R2-
LC868435.1	lin R2-
LC868436.1	lin R2-
LC868437.1	lin R2-
LC868438.1	lin R2-
LC918507.1	lin R2-
LC918508.1	lin R2-
LC918509.1	lin R2-
LC918510.1	lin R2-
LC918511.1	lin R2-
LC918512.1	lin R2-
LC918513.1	lin R2-
LC918514.1	lin R2-
LC918515.1	lin R2-
LC918516.1	lin R2-
LC918517.1	lin R2-
LC918518.1	lin R2-
LC918519.1	lin R2-
LC918520.1	lin R2-
LC918521.1	lin R2-
LC918522.1	lin R2-
LC918523.1	lin R2-
LC918524.1	lin R2-
LC919492.1	lin R2-
LC769681.1	lin R2-
LC769682.1	none
LC769683.1	lin R2-
LC769684.1	lin R2-
LC769685.1	lin R2-
LC769688.1	none
LC769689.1	none
LC769691.1	none
LC769692.1	lin R2-
LC769693.1	none
LC769694.1	none
LC769695.1	none
LC769696.1	none
LC769697.1	lin R2-
LC769698.1	none
LC769699.1	none
LC769700.1	lin R1-
LC769701.1	lin R2-
LC769702.1	none
LC769703.1	none
LC769704.1	none
LC769705.1	none
LC769706.1	none
LC769707.1	none
LC769708.1	none
LC769709.1	none
LC769712.1	none
LC769713.1	none
LC769714.1	lin R2-
LC769715.1	none
LC777250.1	none
LC342059.1	lin R2-
LC369214.1	lin R2-
LC369215.1	lin R2-
LC369216.1	lin R2-
LC369217.1	lin R2-
LC369218.1	lin R2-
LC369219.1	lin R2-
LC369220.1	lin R2-
LC369221.1	lin R2-
LC369222.1	lin R2-
LC369224.1	lin R2-
LC369225.1	lin R2-
LC369227.1	lin R2-
LC369228.1	lin R2-
LC369229.1	lin R2-
LC369230.1	lin R2-
LC369231.1	lin R2-
LC369232.1	lin R2-
LC369233.1	lin R2-
LC369234.1	lin R2-
LC369235.1	lin R2-
LC369236.1	lin R2-
LC369237.1	lin R2-
LC369238.1	lin R2-
LC369239.1	lin R2-
LC369240.1	lin R2-
LC369241.1	lin R2-
LC369242.1	lin R2-
LC369243.1	lin R2-
LC369244.1	lin R2-
LC369245.1	lin R2-
LC369246.1	lin R2-
LC369247.1	lin R2-
LC369248.1	lin R2-
LC369249.1	lin R2-
LC369251.1	lin R2-
LC369252.1	lin R2-
LC369253.1	lin R2-
LC369254.1	lin R2-
LC369255.1	lin R2-
LC369256.1	lin R2-
LC369257.1	lin R2-
LC369258.1	lin R2-
KY905331.1	none
KY496327.1	none
KY210920.3	none
KY210980.3	none
KX586330.1	none
KT779557.1	none
KF895841.2	none
KF920739.4	none
KF944110.2	none
KF944111.3	none
HM596590.4	lin R1-
GU292831.4	none
PZ136054.1	none
PZ136057.1	none
PZ059667.1	lin R2-
PZ059668.1	lin R2-
PZ059669.1	lin R2-
PZ059670.1	lin R2-
PZ059671.1	lin R2-
PZ059672.1	lin R2-
PV902474.1	lin R2-
PV843276.1	none
PV806172.1	lin R2-
PV806173.1	lin R2-
PV806174.1	lin R2-
PV765565.1	lin R2-
PV765568.1	lin R2-
PV765570.1	lin R2-
PV746275.1	lin R2-
PV746276.1	none
PV746277.1	none
PV746278.1	none
PV655189.1	lin R2-
PV636607.1	none
PQ461161.1	none
PV588655.1	lin R2-
PV588656.1	lin R2-
PV588657.1	lin R2-
PV588658.1	lin R2-
PV588796.1	lin R2-
PV588797.1	lin R2-
PV553834.1	lin R1-
PP498989.1	none
OR536443.1	lin R1-
OR536445.1	lin R1-
OR536446.1	lin R1-
OR536448.1	lin R1-
OR536449.1	lin R1-
OR536451.1	lin R1-
OR536452.1	lin R1-
OR536453.1	lin R1-
OR536455.1	lin R1-
OR536456.1	lin R1-
OR536461.1	lin R1-
OR536463.1	lin R1-
OR536471.1	none
OR536474.1	none
OR536495.1	lin R2-
OR536496.1	lin R2-
OR536497.1	none
OR536498.1	none
OR536499.1	none
PP381831.1	lin R2-
PP267279.1	lin R2-
PP267284.1	lin R2-
PP267285.1	lin R2-
PP267298.1	lin R2-
OR546391.1	lin R2-
OR546392.1	lin R2-
OR546393.1	lin R2-
OR546394.1	lin R2-
OR546395.1	lin R2-
OR546396.1	lin R2-
OR546397.1	lin R2-
OR546398.1	lin R2-
OR546399.1	lin R2-
OR546400.1	lin R2-
OR397766.1	none
OR397767.1	none
OR397768.1	none
OR397769.1	none
OR397770.1	none
OR397771.1	none
OR397772.1	none
OR397773.1	none
OR397774.1	none
OR397775.1	none
OR397776.1	none
OR397777.1	none
OR397778.1	none
OR397779.1	none
OR397780.1	none
OR397781.1	none
OR397782.1	none
OR397783.1	none
OR397784.1	none
OR397785.1	none
OR397786.1	none
OR397787.1	none
OR397788.1	none
OP691294.1	lin R1-
OP691295.1	lin R1-
OP609644.1	lin R1-
OP609645.1	lin R1-
OP609646.1	lin R1-
ON706286.1	lin R1-
MW581004.1	lin R2-
MW581005.1	lin R2-
MW581006.1	lin R2-
MW581007.1	lin R2-
MW581008.1	lin R2-
MW581009.1	lin R2-
MW581010.1	lin R2-
MW581011.1	lin R2-
MW581012.1	lin R2-
MZ292759.1	lin R2-
MZ292794.1	lin R2-
MZ291623.1	lin R2-
MZ291626.1	none
MZ291632.1	lin R2-
MZ291634.1	none
MZ268407.1	none
MZ272053.1	lin R1-
MZ272475.1	lin R1-
MZ265063.2	lin R2-
MZ265142.1	lin R1-
MZ265418.1	lin R1-
MZ265480.1	lin R1-
MZ233435.1	none
MW661247.1	none
MW661251.1	none
MW661252.1	none
MW661254.1	none
MW661255.1	none
MW661257.1	lin R2-
MW661258.1	none
MW661259.1	none
MW661260.1	none
MW661261.1	none
MW661262.1	none
MW661263.1	lin R2-
MW661265.1	none
MW661267.1	lin R2-
MW661268.1	lin R2-
MW661269.1	lin R2-
MW661270.1	lin R2-
MW661277.1	none
MW661279.1	none
MW661280.1	none
MW661283.1	none
MT233268.1	lin R2-
MT218311.1	none
MT242482.1	lin R2-
MT316122.1	none
MT158850.1	lin R1-
MT158851.1	none
MT158852.1	none
MT158853.1	none
MT158854.1	none
MT158855.1	none
MT158856.1	none
MT158857.1	none
MT158858.1	none
MT158859.1	none
MT158860.1	lin R2-
MT158861.1	lin R2-
MT158862.1	none
MN394542.1	none
MN307993.1	none
MN307995.1	none
MN307996.1	none
MN307997.1	none
MN307998.1	none
MN307999.1	none
MN308001.1	none
MN308002.1	none
MN308003.1	none
MN308008.1	none
MN308010.1	none
MN308012.1	none
MN308014.1	none
MN308015.1	none
MN308017.1	none
MN308018.1	none
MN308019.1	none
MN308020.1	none
MN199033.1	none
MK614124.1	none
MK614125.1	none
MK614126.1	none
MK614127.1	none
MK614128.1	none
MK614129.1	none
MK614130.1	none
MK614131.1	none
MK614132.1	none
MK614133.1	none
MK614134.1	none
MK614135.1	none
MK614136.1	none
MK614137.1	lin R2-
MK775029.1	none
MK775032.1	none
MK773585.1	none
MK773587.1	none
MK762558.1	none
MK762560.1	none
MK762564.1	none
MK762566.1	none
MK762568.1	none
MK762626.1	none
MK762627.1	lin R2-
MK762629.1	none
MK762632.1	none
MK762633.1	none
MK762636.1	none
MK762637.1	none
MK762745.1	none
MK762746.1	none
MK764013.1	none
MK764014.1	none
MK764015.1	none
MK764021.1	none
MK764022.1	none
MK764039.1	none
MK764041.1	lin R2-
MH041321.1	none
MH041322.1	none
MK752934.1	none
MK752937.1	none
MK752939.1	none
MK752941.1	none
MK752942.1	none
MK752946.1	none
MK752947.1	none
MK753007.1	none
MK753008.1	none
MK753009.1	none
MK753010.1	none
MK753012.1	none
MK753016.1	none
MK753033.1	lin R2-
MK753034.1	lin R2-
MK753035.1	none
MK753036.1	lin R2-
MK754442.1	none
MK754443.1	none
MK754445.1	lin R2-
MK754447.1	lin R2-
MK756034.1	none
MK756035.1	none
MK729086.1	none
MG214988.1	none
MG002632.1	none
MG002634.1	none
PQ196508.1	none
PQ196512.1	none
PQ196514.1	none
PQ196516.1	none
PQ196517.1	none
PQ196518.1	none
PQ196520.1	none
PQ196523.1	none
PQ196525.1	none
PQ196526.1	none
PQ196528.1	none
PQ196529.1	none
PQ196530.1	none
PQ196532.1	none
PQ196533.1	none
PQ196534.1	none
PQ196536.1	none
PQ196537.1	none
PQ196538.1	none
PQ196539.1	none
PQ196541.1	none
PQ196543.1	none
PQ196546.1	none
PQ196547.1	none
PQ196549.1	none
PQ196551.1	none
PQ196556.1	none
PQ196557.1	none
PQ196561.1	none
PQ196562.1	none
PQ196564.1	none
PQ196565.1	none
PQ196566.1	none
PQ196568.1	none
PV297973.1	none
PV275041.1	lin R2-
PV275048.1	lin R2-
PV275055.1	none
PV275057.1	none
PV275059.1	none
PV275064.1	lin R2-
PV275065.1	lin R2-
PV275066.1	lin R2-
PV275069.1	lin R2-
PV174239.1	lin R1-
PV174243.1	lin R1-
PV174244.1	lin R1-
PV174245.1	lin R1-
OR713748.1	none
OR700741.1	lin R2-
OR700742.1	none
OR700746.1	none
OR685283.1	lin R1-
OR069404.1	none
OR051787.1	none
OR051903.1	lin R1-
OR051927.1	none
OR065073.1	none
OR065090.1	none
OR069405.1	lin R1-
OR069406.1	lin R1-
MZ478140.1	none
OL826940.1	none
OL826941.1	none
OL826942.1	none
OL826943.1	none
OL721917.1	none
LC597111.1	none
LC597112.1	lin R2-
LC597113.1	none
LC597120.1	lin R2-
LC597121.1	lin R1-
LC597124.1	lin R1-
LC597126.1	none
LC597127.1	lin R2-
LC597132.1	none
MT735394.1	none
MN588299.1	none
MN588300.1	none
MN588301.1	none
MN588302.1	none
MN588303.1	none
MN588304.1	none
MN588305.1	none
MN588306.1	none
MN588307.1	none
MW284776.1	lin R1-
MW284778.1	lin R1-
MW284784.1	lin R1-
MW009068.1	lin R1-
MW009072.1	lin R1-
KY865306.1	none
KY865307.1	none
KY947546.1	none
KY947547.1	none
KY947548.1	none
KY947549.1	lin R2-
KY947550.1	none
PX631122.1	lin R2-
OR793082.1	none
OR793083.1	lin R2-
OR793084.1	lin R2-
OR793086.1	none
OR793087.1	none
OR793088.1	none
OR793089.1	none
OR793090.1	none
OR793091.1	none
OR793092.1	none
OR793093.1	none
OR793094.1	none
OR793097.1	lin R1-
OR793098.1	none
OR793099.1	none
OR793100.1	none
OR793101.1	none
PV750886.1	lin R2-
PV750898.1	lin R2-
PV784278.1	lin R2-
PV784280.1	lin R2-
PQ475911.1	none
PQ482378.1	none
PQ482379.1	lin R2-
PQ482380.1	lin R2-
PQ273191.1	lin R2-
PQ273192.1	none
PQ195879.1	none
PQ195881.1	none
PQ195882.1	none
PQ195883.1	none
PQ195885.1	none
PQ195886.1	none
PQ195887.1	none
PQ195888.1	none
PQ195889.1	none
PQ195890.1	none
PQ195892.1	none
PQ195894.1	none
PQ195895.1	none
PQ195896.1	none
PQ195897.1	none
PQ195899.1	none
PQ195900.1	none
PQ195901.1	none
PQ195902.1	none
PQ195903.1	none
PQ195906.1	none
PQ195907.1	none
PQ195908.1	lin R2-
PQ195909.1	lin R2-
PQ195910.1	none
PQ195911.1	none
PQ195912.1	none
PQ195913.1	lin R2-
PQ195914.1	none
PQ195915.1	none
PQ195916.1	none
PQ195917.1	none
PQ195919.1	none
PQ195920.1	none
PQ195921.1	none
PQ195922.1	none
PQ195923.1	none
PQ195924.1	none
PQ195925.1	none
PQ195926.1	lin R2-
PQ195927.1	lin R2-
PQ195928.1	lin R2-
PQ195929.1	none
PQ195930.1	none
PQ195931.1	none
PQ195932.1	none
PQ195933.1	none
PQ195934.1	none
PQ195935.1	none
PQ195936.1	none
PQ195937.1	none
PQ195938.1	none
PQ195939.1	none
PQ195940.1	lin R2-
PQ195942.1	none
PQ195943.1	none
PQ195944.1	none
PQ195945.1	none
PQ195946.1	none
PQ195947.1	none
PQ195948.1	none
PQ195949.1	none
PQ195950.1	none
PQ195951.1	none
PQ195952.1	none
PQ207921.1	none
PQ207925.1	none
PQ207926.1	lin R2-
PQ207927.1	none
PQ207928.1	none
PQ207933.1	lin R2-
PQ207934.1	lin R2-
PQ207937.1	none
PQ207944.1	lin R2-
PQ207945.1	lin R2-
PQ207946.1	none
PQ207947.1	none
PQ208315.1	none
PQ208316.1	none
PQ208317.1	none
PQ208319.1	none
PQ208320.1	none
PQ208321.1	none
PQ208322.1	none
PQ208323.1	none
PQ208326.1	none
PQ208327.1	none
PQ208328.1	none
PQ208329.1	none
PQ214832.1	none
PQ214835.1	none
PQ214837.1	lin R2-
PQ215524.1	none
PQ215526.1	none
PQ219041.1	none
PQ641315.1	lin R1-
PQ507173.1	lin R2-
PQ507174.1	none
PQ507178.1	none
PQ507179.1	none
PQ442935.1	none
PQ442936.1	none
PQ442937.1	none
PQ373119.1	lin R2-
PQ373125.1	lin R2-
PQ373128.1	none
PQ373130.1	lin R2-
PQ373134.1	lin R2-
PQ373135.1	lin R2-
PQ373136.1	lin R2-
PQ373137.1	lin R2-
PQ373141.1	lin R2-
PQ373143.1	lin R2-
PQ373144.1	lin R2-
PQ373145.1	lin R2-
PQ373146.1	lin R2-
OP205527.1	none
OP205541.1	none
OP205566.1	none
OP205577.1	none
OP205578.1	none
OP205579.1	none
OP205580.1	none
OP205582.1	none
OR084256.1	none
OR084257.1	none
OR084258.1	none
OR084259.1	none
OR084260.1	none
OR084261.1	lin R2-
OR084262.1	none
OR084263.1	none
OR084264.1	none
OP805360.1	lin R2-
OP805361.1	lin R2-
OK376252.1	none
MT362912.1	none
MT409884.1	none
MK928496.1	none
MK928497.1	none
MK928498.1	none
MK928499.1	none
MH260483.1	none
MH260484.1	none
MH260485.1	none
MH260488.1	none
MH260490.1	none
MH260492.1	none
MH260502.1	none
MH260504.1	none
KJ710245.2	lin R2-
PV920370.1	lin R2-
PX285873.1	none
PQ308684.1	lin R2-
PQ308685.1	lin R2-
PQ308686.1	lin R2-
PQ308687.1	lin R2-
PQ308689.1	lin R2-
PQ310124.1	lin R2-
PQ310125.2	lin R2-
PQ310126.1	lin R2-
PQ310127.1	lin R2-
PQ310128.1	lin R2-
PQ310129.1	lin R2-
PQ310130.1	lin R2-
PQ310131.1	lin R2-
PQ310234.1	lin R2-
PQ310236.1	lin R2-
PQ304612.1	lin R2-
PQ304613.1	lin R2-
PQ304632.1	lin R1-
PP658551.1	none
PP658555.1	none
PP658557.1	none
PP658559.1	lin R2-
PP658560.1	lin R2-
PP658561.1	none
PP645199.1	lin R2-
PP645200.1	none
PP564826.1	none
PP564827.1	none
PP564828.1	none
PP564829.1	lin R2-
PP564830.1	lin R2-
PP564831.1	lin R2-
PP564832.1	lin R2-
PP564833.1	lin R2-
PP564834.1	lin R2-
MN525275.1	none
MN493873.1	none
KC962453.2	lin R2-
KC962462.3	none
