Genome	Primer	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
MH218632.1		none				M	D	
MH218633.1		none				M	D	
MH218634.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218635.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218636.1		none				M	D	
MH218637.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218638.1		none				M	D	
MH218639.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218640.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218641.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
MH218642.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218643.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218644.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218645.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218646.1		none				M	D	
MH218650.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218651.1		none				M	D	
MH218652.1		none				M	D	
MH218653.1		none				M	D	
MH218654.1		none				M	D	
MH218655.1		none				M	D	
MH218657.1		none				M	D	
MH218658.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218660.1		none				M	D	
MH218661.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
MH218662.1		none				M	D	
MH218663.1		none				M	D	
MH218665.1		none				M	D	
MH218666.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218667.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218668.1		none				M	D	
MH218669.1		none				M	D	
MH218670.1		none				M	D	
MH218671.1		none				M	D	
MH218672.1		none				M	D	
MH218673.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218674.1		none				M	D	
MH218675.1		none				M	D	
MH218676.1		none				M	D	
MH218677.1		none				M	D	
MH218678.1		none				M	D	
MH218679.1		none				M	D	
MH218680.1		none				M	D	
MH218681.1		none				M	D	
MH218682.1		none				M	D	
MH218683.1		none				M	D	
MH218684.1		none				M	D	
MH218685.1		none				M	D	
MH218686.1		none				M	D	
MH218687.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218688.1		none				M	D	
MH218689.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MH218690.1		none				M	D	
MH218691.1		none				M	D	
MH218692.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
MH218693.1		none				M	D	
MH218694.1		none				M	D	
MH218695.1		none				M	D	
MH218696.1		none				M	D	
MH218697.1		none				M	D	
MH218698.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218699.1		none				M	D	
MH218700.1		none				M	D	
MH218701.1		none				M	D	
MH218702.1		none				M	D	
MH218703.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218704.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218705.1		none				M	D	
MH218706.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218707.1		none				M	D	
MH218708.1		none				M	D	
MH218709.1		none				M	D	
MH218710.1		none				M	D	
MH218711.1		none				M	D	
MH218712.1		none				M	D	
MH218713.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218714.1		none				M	D	
MH218715.1		none				M	D	
MH218716.1		none				M	D	
MH218717.1		none				M	D	
MH218718.1		none				M	D	
MH218719.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MH218731.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5421:5439:-
MH218732.1		none				M	D	
MH218733.1		none				M	D	
MH218734.1		none				M	D	
MH218735.1		none				M	D	
MH218736.1		none				M	D	
MH218737.1		none				M	D	
MH218738.1		none				M	D	
MH321825.1		none				M	D	
MG892908.3		none				M	D	
MG892929.3		none				M	D	
MG892946.3		none				M	D	
MG892953.3		none				M	D	
MG892974.3		none				M	D	
MG692610.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MG706448.1		none				M	D	
MG745985.1		none				M	D	
MG745986.1		none				M	D	
MG745987.1		none				M	D	
MG745988.1		none				M	D	
MG745989.1		none				M	D	
MG745990.1		none				M	D	
MG745991.1		none				M	D	
MG745992.1		none				M	D	
MG745993.1		none				M	D	
MG745994.1		none				M	D	
MG745995.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MG745996.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MG745997.1		none				M	D	
MG745998.1		none				M	D	
MG745999.1		none				M	D	
MG746000.1		none				M	D	
MG746001.1		none				M	D	
MG746002.1		none				M	D	
MG746003.1		none				M	D	
MG746004.1		none				M	D	
MG746005.1		none				M	D	
MG746006.1		none				M	D	
MG746007.1		none				M	D	
MG746008.1		none				M	D	
MG746009.1		none				M	D	
MG746010.1		none				M	D	
MG746011.1		none				M	D	
MG746012.1		none				M	D	
MG746013.1		none				M	D	
MG746014.1		none				M	D	
MG746015.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MG746016.1		none				M	D	
MG746017.1		none				M	D	
MG746018.1		none				M	D	
MG746019.1		none				M	D	
MG746020.1		none				M	D	
MG746021.1		none				M	D	
MG746022.1		none				M	D	
MG746023.1		none				M	D	
MG746024.1		none				M	D	
MG746025.1		none				M	D	
MG746026.1		none				M	D	
MG746027.1		none				M	D	
MG746028.1		none				M	D	
MG746029.1		none				M	D	
MG746030.1		none				M	D	
MG746031.1		none				M	D	
MG746032.1		none				M	D	
MG746033.1		none				M	D	
MG746034.1		none				M	D	
MG746035.1		none				M	D	
MG746036.1		none				M	D	
MG746037.1		none				M	D	
MG746038.1		none				M	D	
MG746039.1		none				M	D	
MG746040.1		none				M	D	
MG746041.1		none				M	D	
MG746042.1		none				M	D	
MG746043.1		none				M	D	
MG746044.1		none				M	D	
MG746045.1		none				M	D	
MG049692.1		none				M	D	
MG548737.1		none				M	D	
MG572182.1		none				M	D	
MG572719.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
MG572730.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
MG572731.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
MG572732.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
MF352142.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
MF352143.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
MF352144.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5384:5402:-
LC868426.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
