accession,not_gii,partial,under_length_threshold,duplicated,not_annotated,ambiguous
AB933694.1,True,False,False,False,False,False
AB933695.1,True,False,False,False,False,False
AB933696.1,True,False,False,False,False,False
AB933697.1,True,False,False,False,False,False
AB933698.1,True,False,False,False,False,False
AB933699.1,True,False,False,False,False,False
AB933700.1,True,False,False,False,False,False
AB933701.1,True,False,False,False,False,False
AB933702.1,True,False,False,False,False,False
AB933703.1,True,False,False,False,False,False
AB933704.1,True,False,False,False,False,False
AB933705.1,True,False,False,False,False,False
AB933706.1,True,False,False,False,False,False
AB933707.1,True,False,False,False,False,False
AB933708.1,True,False,False,False,False,False
AB933709.1,True,False,False,False,False,False
AB933710.1,True,False,False,False,False,False
AB933711.1,True,False,False,False,False,False
AB933712.1,True,False,False,False,False,False
AB933713.1,True,False,False,False,False,False
AB933714.1,True,False,False,False,False,False
AB933715.1,True,False,False,False,False,False
AB933716.1,True,False,False,False,False,False
AB933717.1,True,False,False,False,False,False
AB933718.1,True,False,False,False,False,False
AB933719.1,True,False,False,False,False,False
AB933720.1,True,False,False,False,False,False
AB933721.1,True,False,False,False,False,False
AB933722.1,True,False,False,False,False,False
AB933723.1,True,False,False,False,False,False
AB933724.1,True,False,False,False,False,False
AB933725.1,True,False,False,False,False,False
AB933726.1,True,False,False,False,False,False
AB933727.1,True,False,False,False,False,False
AB933728.1,True,False,False,False,False,False
AB933729.1,True,False,False,False,False,False
AB933730.1,True,False,False,False,False,False
AB933731.1,True,False,False,False,False,False
AB933732.1,True,False,False,False,False,False
AB933733.1,True,False,False,False,False,False
AB933734.1,True,False,False,False,False,False
AB933735.1,True,False,False,False,False,False
AB933736.1,True,False,False,False,False,False
AB933737.1,True,False,False,False,False,False
AB933738.1,True,False,False,False,False,False
AB933739.1,True,False,False,False,False,False
AB933740.1,True,False,False,False,False,False
AB933741.1,True,False,False,False,False,False
AB933742.1,True,False,False,False,False,False
AB933743.1,True,False,False,False,False,False
AB933744.1,True,False,False,False,False,False
AB933745.1,True,False,False,False,False,False
AB933746.1,True,False,False,False,False,False
AB933747.1,True,False,False,False,False,False
AB933748.1,True,False,False,False,False,False
AB933749.1,True,False,False,False,False,False
AB933750.1,True,False,False,False,False,False
AB933751.1,True,False,False,False,False,False
AB933752.1,True,False,False,False,False,False
AB933753.1,True,False,False,False,False,False
AB933754.1,True,False,False,False,False,False
AB933755.1,True,False,False,False,False,False
AB933756.1,True,False,False,False,False,False
AB933757.1,True,False,False,False,False,False
AB933758.1,True,False,False,False,False,False
AB933759.1,True,False,False,False,False,False
AB933760.1,True,False,False,False,False,False
AB933761.1,True,False,False,False,False,False
AB933762.1,True,False,False,False,False,False
AB933763.1,True,False,False,False,False,False
AB933764.1,True,False,False,False,False,False
AB933765.1,True,False,False,False,False,False
AB933766.1,True,False,False,False,False,False
AB933767.1,True,False,False,False,False,False
AB933768.1,True,False,False,False,False,False
AB933769.1,True,False,False,False,False,False
AB933770.1,True,False,False,False,False,False
AB933771.1,True,False,False,False,False,False
AB983218.1,True,False,False,False,False,False
AB985418.2,True,False,False,False,False,False
AY134748.1,True,False,False,False,False,False
DQ658413.1,True,False,False,False,False,False
EU310927.1,True,False,False,False,False,False
FJ514242.1,True,False,False,False,False,False
FJ515294.1,True,False,False,False,False,False
FJ537134.1,True,False,False,False,False,False
FJ537135.1,True,False,False,False,False,False
FJ537136.1,True,False,False,False,False,False
FJ537137.1,True,False,False,False,False,False
FJ537138.1,True,False,False,False,False,False
GQ845024.2,True,False,False,False,False,False
GQ845366.2,True,False,False,False,False,False
GQ845367.2,True,False,False,False,False,False
GQ845368.2,True,False,False,False,False,False
GQ845369.3,True,False,False,False,False,False
GQ845370.2,True,False,False,False,False,False
GU017903.2,True,False,False,False,False,False
GU325839.2,True,False,False,False,False,False
GU445325.2,True,False,False,False,False,False
GU594162.1,True,False,False,False,False,False
GU980585.1,True,False,False,False,False,False
GU991353.1,True,False,False,False,False,False
GU991354.1,True,False,False,False,False,False
GU991355.1,True,False,False,False,False,False
HM748971.2,True,False,False,False,False,False
HM748972.2,True,False,False,False,False,False
HM748973.2,True,False,False,False,False,False
HQ009513.1,True,False,False,False,False,False
HQ169542.2,True,False,False,False,False,False
HQ449728.1,True,False,False,False,False,False
HQ664990.1,True,False,False,False,False,False
JN400599.1,True,False,False,False,False,False
JN400600.1,True,False,False,False,False,False
JN400601.1,True,False,False,False,False,False
JN400602.1,True,False,False,False,False,False
JN400603.1,True,False,False,False,False,False
JN400604.1,True,False,False,False,False,False
JN400605.1,True,False,False,False,False,False
JN400606.1,True,False,False,False,False,False
JN400607.1,True,False,False,False,False,False
JN400608.1,True,False,False,False,False,False
JN400609.1,True,False,False,False,False,False
JN400610.1,True,False,False,False,False,False
JN400611.1,True,False,False,False,False,False
JN400612.1,True,False,False,False,False,False
JN400613.1,True,False,False,False,False,False
JN400614.1,True,False,False,False,False,False
JN400615.1,True,False,False,False,False,False
JN400616.1,True,False,False,False,False,False
JN400617.1,True,False,False,False,False,False
JN400618.2,True,False,False,False,False,False
JN400619.2,True,False,False,False,False,False
JN400620.1,True,False,False,False,False,False
JN400621.1,True,False,False,False,False,False
JN400622.1,True,False,False,False,False,False
JN400623.1,True,False,False,False,False,False
JN400624.1,True,False,False,False,False,False
JN400625.1,True,False,False,False,False,False
JN400626.1,True,False,False,False,False,False
JN595867.1,True,False,False,False,False,False
JQ388274.1,True,False,False,False,False,False
JQ613552.2,True,False,False,False,False,False
JQ613567.1,True,False,False,False,False,False
JQ613568.1,True,False,False,False,False,False
JQ613569.1,True,False,False,False,False,False
JQ613570.1,True,False,False,False,False,False
JQ622197.1,True,False,False,False,False,False
JQ798158.1,True,False,False,False,False,False
JQ911594.1,True,False,False,False,False,False
JQ911595.1,True,False,False,False,False,False
JQ911596.1,True,False,False,False,False,False
JQ911597.1,True,False,False,False,False,False
JQ911598.1,True,False,False,False,False,False
JX023285.1,True,False,False,False,False,False
JX023286.1,True,False,False,False,False,False
JX126912.1,True,False,False,False,False,False
JX126913.1,True,False,False,False,False,False
JX439815.1,True,False,False,False,False,False
JX439816.1,True,False,False,False,False,False
JX439817.1,True,False,False,False,False,False
JX439818.1,True,False,False,False,False,False
JX439819.1,True,False,False,False,False,False
JX448566.1,True,False,False,False,False,False
JX459900.1,True,False,False,False,False,False
JX459901.1,True,False,False,False,False,False
JX459902.1,True,False,False,False,False,False
JX459903.1,True,False,False,False,False,False
JX459904.1,True,False,False,False,False,False
JX459905.1,True,False,False,False,False,False
JX459906.1,True,False,False,False,False,False
JX459907.1,True,False,False,False,False,False
JX459908.1,True,False,False,False,False,False
JX846924.1,True,False,False,False,False,False
JX846925.1,True,False,False,False,False,False
JX846927.1,True,False,False,False,False,False
JX989073.1,True,False,False,False,False,False
JX989074.1,True,False,False,False,False,False
JX989075.1,True,False,False,False,False,False
KC013592.1,True,False,False,False,False,False
KC175323.1,True,False,False,False,False,False
KC175342.1,True,False,False,False,False,False
KC175343.1,True,False,False,False,False,False
KC175344.1,True,False,False,False,False,False
KC175345.1,True,False,False,False,False,False
KC175346.1,True,False,False,False,False,False
KC175347.1,True,False,False,False,False,False
KC175348.1,True,False,False,False,False,False
KC175349.1,True,False,False,False,False,False
KC175350.1,True,False,False,False,False,False
KC175351.1,True,False,False,False,False,False
KC175352.1,True,False,False,False,False,False
KC175353.1,True,False,False,False,False,False
KC175354.1,True,False,False,False,False,False
KC175355.1,True,False,False,False,False,False
KC175356.1,True,False,False,False,False,False
KC175357.1,True,False,False,False,False,False
KC175358.1,True,False,False,False,False,False
KC175359.1,True,False,False,False,False,False
KC175360.1,True,False,False,False,False,False
KC175361.1,True,False,False,False,False,False
KC175362.1,True,False,False,False,False,False
KC175363.1,True,False,False,False,False,False
KC175364.1,True,False,False,False,False,False
KC175365.1,True,False,False,False,False,False
KC175366.1,True,False,False,False,False,False
KC175367.1,True,False,False,False,False,False
KC175368.1,True,False,False,False,False,False
KC175369.1,True,False,False,False,False,False
KC175370.1,True,False,False,False,False,False
KC175371.1,True,False,False,False,False,False
KC175372.1,True,False,False,False,False,False
KC175373.1,True,False,False,False,False,False
KC175374.1,True,False,False,False,False,False
KC175375.1,True,False,False,False,False,False
KC175376.1,True,False,False,False,False,False
KC175377.1,True,False,False,False,False,False
KC175378.1,True,False,False,False,False,False
KC175379.1,True,False,False,False,False,False
KC175380.1,True,False,False,False,False,False
KC175381.1,True,False,False,False,False,False
KC175382.1,True,False,False,False,False,False
KC175383.1,True,False,False,False,False,False
KC175384.1,True,False,False,False,False,False
KC175385.1,True,False,False,False,False,False
KC175386.1,True,False,False,False,False,False
KC175387.1,True,False,False,False,False,False
KC175388.1,True,False,False,False,False,False
KC175389.1,True,False,False,False,False,False
KC175390.1,True,False,False,False,False,False
KC175391.1,True,False,False,False,False,False
KC175392.1,True,False,False,False,False,False
KC175393.1,True,False,False,False,False,False
KC175394.1,True,False,False,False,False,False
KC175395.1,True,False,False,False,False,False
KC175396.1,True,False,False,False,False,False
KC175397.1,True,False,False,False,False,False
KC175398.1,True,False,False,False,False,False
KC175399.1,True,False,False,False,False,False
KC175400.1,True,False,False,False,False,False
KC175401.1,True,False,False,False,False,False
KC175402.1,True,False,False,False,False,False
KC175403.1,True,False,False,False,False,False
KC175404.1,True,False,False,False,False,False
KC175405.1,True,False,False,False,False,False
KC175406.1,True,False,False,False,False,False
KC175407.1,True,False,False,False,False,False
KC175408.1,True,False,False,False,False,False
KC175409.1,True,False,False,False,False,False
KC175410.1,True,False,False,False,False,False
KC409238.1,True,False,False,False,False,False
KC409239.1,True,False,False,False,False,False
KC409240.1,True,False,False,False,False,False
KC409241.1,True,False,False,False,False,False
KC409242.1,True,False,False,False,False,False
KC409243.1,True,False,False,False,False,False
KC409244.1,True,False,False,False,False,False
KC409245.1,True,False,False,False,False,False
KC409246.1,True,False,False,False,False,False
KC409247.1,True,False,False,False,False,False
KC409248.1,True,False,False,False,False,False
KC409249.1,True,False,False,False,False,False
KC409250.1,True,False,False,False,False,False
KC409251.1,True,False,False,False,False,False
KC409252.1,True,False,False,False,False,False
KC409253.1,True,False,False,False,False,False
KC409254.1,True,False,False,False,False,False
KC409255.1,True,False,False,False,False,False
KC409256.1,True,False,False,False,False,False
KC409257.1,True,False,False,False,False,False
KC409258.1,True,False,False,False,False,False
KC409259.1,True,False,False,False,False,False
KC409260.1,True,False,False,False,False,False
KC409261.1,True,False,False,False,False,False
KC409262.1,True,False,False,False,False,False
KC409263.1,True,False,False,False,False,False
KC409264.1,True,False,False,False,False,False
KC409265.1,True,False,False,False,False,False
KC409266.1,True,False,False,False,False,False
KC409267.1,True,False,False,False,False,False
KC409268.1,True,False,False,False,False,False
KC409269.1,True,False,False,False,False,False
KC409270.1,True,False,False,False,False,False
KC409271.1,True,False,False,False,False,False
KC409272.1,True,False,False,False,False,False
KC409273.1,True,False,False,False,False,False
KC409274.1,True,False,False,False,False,False
KC409275.1,True,False,False,False,False,False
KC409276.1,True,False,False,False,False,False
KC409277.1,True,False,False,False,False,False
KC409278.1,True,False,False,False,False,False
KC409279.1,True,False,False,False,False,False
KC409280.1,True,False,False,False,False,False
KC409281.1,True,False,False,False,False,False
KC409282.1,True,False,False,False,False,False
KC409283.1,True,False,False,False,False,False
KC409284.1,True,False,False,False,False,False
KC409285.1,True,False,False,False,False,False
KC409286.1,True,False,False,False,False,False
KC409287.1,True,False,False,False,False,False
KC409288.1,True,False,False,False,False,False
KC409289.1,True,False,False,False,False,False
KC409290.1,True,False,False,False,False,False
KC409291.1,True,False,False,False,False,False
KC409292.1,True,False,False,False,False,False
KC409293.1,True,False,False,False,False,False
KC409294.1,True,False,False,False,False,False
KC409295.1,True,False,False,False,False,False
KC409296.1,True,False,False,False,False,False
KC409297.1,True,False,False,False,False,False
KC409298.1,True,False,False,False,False,False
KC409299.1,True,False,False,False,False,False
KC409300.1,True,False,False,False,False,False
KC409301.1,True,False,False,False,False,False
KC409302.1,True,False,False,False,False,False
KC409303.1,True,False,False,False,False,False
KC409304.1,True,False,False,False,False,False
KC409305.1,True,False,False,False,False,False
KC409306.1,True,False,False,False,False,False
KC409307.1,True,False,False,False,False,False
KC409308.1,True,False,False,False,False,False
KC409309.1,True,False,False,False,False,False
KC409310.1,True,False,False,False,False,False
KC409311.1,True,False,False,False,False,False
KC409312.1,True,False,False,False,False,False
KC409313.1,True,False,False,False,False,False
KC409314.1,True,False,False,False,False,False
KC409315.1,True,False,False,False,False,False
KC409316.1,True,False,False,False,False,False
KC409317.1,True,False,False,False,False,False
KC409318.1,True,False,False,False,False,False
KC463910.1,True,False,False,False,False,False
KC464496.1,True,False,False,False,False,False
KC464497.1,True,False,False,False,False,False
KC464498.1,True,False,False,False,False,False
KC464499.1,True,False,False,False,False,False
KC464500.1,True,False,False,False,False,False
KC576909.1,True,False,False,False,False,False
KC576912.1,True,False,False,False,False,False
KC577174.1,True,False,False,False,False,False
KC577175.1,True,False,False,False,False,False
KC631827.1,True,False,False,False,False,False
KC662537.1,True,False,False,False,False,False
KC894731.1,True,False,False,False,False,False
KC894942.1,True,False,False,False,False,False
KC894943.1,True,False,False,False,False,False
KC960615.1,True,False,False,False,False,False
KF039725.1,True,False,False,False,False,False
KF039726.1,True,False,False,False,False,False
KF039727.1,True,False,False,False,False,False
KF039728.1,True,False,False,False,False,False
KF039729.1,True,False,False,False,False,False
KF039730.1,True,False,False,False,False,False
KF039731.1,True,False,False,False,False,False
KF039732.1,True,False,False,False,False,False
KF039733.1,True,False,False,False,False,False
KF039734.1,True,False,False,False,False,False
KF039735.1,True,False,False,False,False,False
KF039736.1,True,False,False,False,False,False
KF039737.1,True,False,False,False,False,False
KF306212.1,True,False,False,False,False,False
KF306213.1,True,False,False,False,False,False
KF306214.1,True,False,False,False,False,False
KF429760.1,True,False,False,False,False,False
KF429761.1,True,False,False,False,False,False
KF429765.1,True,False,False,False,False,False
KF429766.1,True,False,False,False,False,False
KF429768.1,True,False,False,False,False,False
KF429770.1,True,False,False,False,False,False
KF429773.1,True,False,False,False,False,False
KF429774.1,True,False,False,False,False,False
KF429776.1,True,False,False,False,False,False
KF429777.1,True,False,False,False,False,False
KF429778.1,True,False,False,False,False,False
KF429783.1,True,False,False,False,False,False
KF429787.1,True,False,False,False,False,False
KF429789.1,True,False,False,False,False,False
KF429790.1,True,False,False,False,False,False
KF712491.1,True,False,False,False,False,False
KF712496.1,True,False,False,False,False,False
KF712497.1,True,False,False,False,False,False
KF712498.1,True,False,False,False,False,False
KF712499.1,True,False,False,False,False,False
KF712501.1,True,False,False,False,False,False
KF712502.1,True,False,False,False,False,False
KF712504.1,True,False,False,False,False,False
KF712510.1,True,False,False,False,False,False
KJ196276.1,True,False,False,False,False,False
KJ196277.1,True,False,False,False,False,False
KJ196278.1,True,False,False,False,False,False
KJ196279.1,True,False,False,False,False,False
KJ196280.1,True,False,False,False,False,False
KJ196281.1,True,False,False,False,False,False
KJ196282.1,True,False,False,False,False,False
KJ196283.1,True,False,False,False,False,False
KJ196284.1,True,False,False,False,False,False
KJ196285.1,True,False,False,False,False,False
KJ196286.1,True,False,False,False,False,False
KJ196287.1,True,False,False,False,False,False
KJ196288.1,True,False,False,False,False,False
KJ196289.1,True,False,False,False,False,False
KJ196290.1,True,False,False,False,False,False
KJ196291.1,True,False,False,False,False,False
KJ196292.1,True,False,False,False,False,False
KJ196293.1,True,False,False,False,False,False
KJ196294.1,True,False,False,False,False,False
KJ196295.1,True,False,False,False,False,False
KJ196296.1,True,False,False,False,False,False
KJ196297.1,True,False,False,False,False,False
KJ196298.1,True,False,False,False,False,False
KJ196299.1,True,False,False,False,False,False
KJ407072.2,True,False,False,False,False,False
KJ407073.1,True,False,False,False,False,False
KJ407074.2,True,False,False,False,False,False
KJ407075.1,True,False,False,False,False,False
KJ407076.1,True,False,False,False,False,False
KJ541743.1,True,False,False,False,False,False
KJ649705.1,True,False,False,False,False,False
KJ685403.1,True,False,False,False,False,False
KJ685405.1,True,False,False,False,False,False
KJ685408.1,True,False,False,False,False,False
KJ685412.1,True,False,False,False,False,False
KJ685413.1,True,False,False,False,False,False
KJ685414.1,True,False,False,False,False,False
KJ685415.1,True,False,False,False,False,False
KJ685417.1,True,False,False,False,False,False
KJ955492.1,True,False,False,False,False,False
KJ955493.1,True,False,False,False,False,False
KM258128.1,True,False,False,False,False,False
KM258129.1,True,False,False,False,False,False
KM258130.1,True,False,False,False,False,False
KM258131.1,True,False,False,False,False,False
KM272334.1,True,False,False,False,False,False
KP407450.1,True,False,False,False,False,False
KP407451.1,True,False,False,False,False,False
KP784691.1,True,False,False,False,False,False
KP784692.1,True,False,False,False,False,False
KP784693.1,True,False,False,False,False,False
KP784694.1,True,False,False,False,False,False
KP784695.1,True,False,False,False,False,False
KP784696.1,True,False,False,False,False,False
KP784697.1,True,False,False,False,False,False
KP784698.1,True,False,False,False,False,False
KP998539.1,True,False,False,False,False,False
KT152148.1,True,False,False,False,False,False
KT253245.1,True,False,False,False,False,False
KT380915.1,True,False,False,False,False,False
KT589391.1,True,False,False,False,False,False
KU561248.1,True,False,False,False,False,False
KU561249.1,True,False,False,False,False,False
KU561250.1,True,False,False,False,False,False
KU561251.1,True,False,False,False,False,False
KU561252.1,True,False,False,False,False,False
KU561253.1,True,False,False,False,False,False
KU561254.1,True,False,False,False,False,False
KU561255.1,True,False,False,False,False,False
KU561256.1,True,False,False,False,False,False
KU757046.1,True,False,False,False,False,False
KU757047.1,True,False,False,False,False,False
KU757048.1,True,False,False,False,False,False
KU757049.1,True,False,False,False,False,False
KU757050.1,True,False,False,False,False,False
KU757051.1,True,False,False,False,False,False
KU757052.1,True,False,False,False,False,False
KU870455.1,True,False,False,False,False,False
KX079488.1,True,False,False,False,False,False
KY442319.1,True,False,False,False,False,False
KY442320.1,True,False,False,False,False,False
LC037415.1,True,False,False,False,False,False
LC043167.1,True,False,False,False,False,False
LC043168.1,True,False,False,False,False,False
LC048991.2,True,False,False,False,False,False
LC175468.1,True,False,False,False,False,False
LC209431.1,True,False,False,False,False,False
LC209432.1,True,False,False,False,False,False
LC209433.1,True,False,False,False,False,False
LC209434.1,True,False,False,False,False,False
LC209435.1,True,False,False,False,False,False
LC209436.1,True,False,False,False,False,False
LC209437.1,True,False,False,False,False,False
LC209438.1,True,False,False,False,False,False
LC209439.1,True,False,False,False,False,False
LC209440.1,True,False,False,False,False,False
LC209441.1,True,False,False,False,False,False
LC209442.1,True,False,False,False,False,False
LC209443.1,True,False,False,False,False,False
LC209444.1,True,False,False,False,False,False
LC209445.1,True,False,False,False,False,False
LC209446.1,True,False,False,False,False,False
LC209447.1,True,False,False,False,False,False
LC209448.1,True,False,False,False,False,False
LC209449.1,True,False,False,False,False,False
LC209450.1,True,False,False,False,False,False
LC209451.1,True,False,False,False,False,False
LC209452.1,True,False,False,False,False,False
LC209453.1,True,False,False,False,False,False
LC209454.1,True,False,False,False,False,False
LC209455.1,True,False,False,False,False,False
LC209456.1,True,False,False,False,False,False
LC209457.1,True,False,False,False,False,False
LC209458.1,True,False,False,False,False,False
LC209459.1,True,False,False,False,False,False
LC209460.1,True,False,False,False,False,False
LC209461.1,True,False,False,False,False,False
LC209462.1,True,False,False,False,False,False
LC209463.1,True,False,False,False,False,False
LC209464.1,True,False,False,False,False,False
LC209465.1,True,False,False,False,False,False
LC209466.1,True,False,False,False,False,False
LC209467.1,True,False,False,False,False,False
LC209468.1,True,False,True,False,False,False
LC209469.1,True,False,False,False,False,False
LC209470.1,True,False,False,False,False,False
LC209471.1,True,False,False,False,False,False
LC209472.1,True,False,False,False,False,False
LC209473.1,True,False,False,False,False,False
LC209474.1,True,False,False,False,False,False
LC209475.1,True,False,False,False,False,False
LC209476.1,True,False,False,False,False,False
LC209477.1,True,False,False,False,False,False
LC209478.1,True,False,False,False,False,False
LC209479.1,True,False,False,False,False,False
LC209480.1,True,False,False,False,False,False
LC209481.1,True,False,False,False,False,False
LC342057.1,True,False,False,False,False,False
LC342058.1,True,False,False,False,False,False
LC644992.1,True,False,False,False,False,False
LC644993.1,True,False,False,False,False,False
LC646332.1,True,False,False,False,False,False
LC646333.1,True,False,False,False,False,False
LC646334.1,True,False,False,False,False,False
LC646335.1,True,False,False,False,False,False
LC646339.1,True,False,False,False,False,False
LC699526.1,True,False,False,False,False,False
LC699527.1,True,False,False,False,False,False
LC699528.1,True,False,False,False,False,False
LC699529.1,True,False,False,False,False,False
LC699530.1,True,False,False,False,False,False
LC699531.1,True,False,False,False,False,False
LC699532.1,True,False,False,False,False,False
LC699533.1,True,False,False,False,False,False
LC699534.1,True,False,False,False,False,False
LC699535.1,True,False,False,False,False,False
LC699536.1,True,False,False,False,False,False
LC699537.1,True,False,False,False,False,False
LC699538.1,True,False,False,False,False,False
LC699539.1,True,False,False,False,False,False
LC699540.1,True,False,False,False,False,False
LC699541.1,True,False,False,False,False,False
LC744867.1,True,False,False,False,False,False
LC744868.1,True,False,False,False,False,False
LC744869.1,True,False,False,False,False,False
LC744870.1,True,False,False,False,False,False
LC744871.1,True,False,False,False,False,False
LC744872.1,True,False,False,False,False,False
LC744873.1,True,False,False,False,False,False
LC744874.1,True,False,False,False,False,False
LC744875.1,True,False,False,False,False,False
LC744876.1,True,False,False,False,False,False
LC744877.1,True,False,False,False,False,False
LC744878.1,True,False,False,False,False,False
LC744879.1,True,False,False,False,False,False
LC744880.1,True,False,False,False,False,False
LC744881.1,True,False,False,False,False,False
LC769686.1,True,False,False,False,False,False
LC769687.1,True,False,False,False,False,False
LC769690.1,True,False,False,False,False,False
LC769710.1,True,False,False,False,False,False
LC769711.1,True,False,False,False,False,False
LC771966.1,True,False,False,False,False,False
LC771967.1,True,False,False,False,False,False
LC790052.1,True,False,False,False,False,False
LC790053.1,True,False,False,False,False,False
LC790054.1,True,False,False,False,False,False
LC790056.1,True,False,False,False,False,False
LC790057.1,True,False,False,False,False,False
LC790058.1,True,False,False,False,False,False
LC790059.1,True,False,False,False,False,False
LC790060.1,True,False,False,False,False,False
LC790061.1,True,False,False,False,False,False
LC790062.1,True,False,False,False,False,False
LC790063.1,True,False,False,False,False,False
LC790064.1,True,False,False,False,False,False
LC790065.1,True,False,False,False,False,False
LC790066.1,True,False,False,False,False,False
LC790067.1,True,False,False,False,False,False
LC790068.1,True,False,False,False,False,False
LC790069.1,True,False,False,False,False,False
LC790070.1,True,False,False,False,False,False
LC848162.1,True,False,False,False,False,False
LC848163.1,True,False,False,False,False,False
LC848164.1,True,False,False,False,False,False
LC877021.1,True,False,False,False,False,False
LC877022.1,True,False,False,False,False,False
LC877023.1,True,False,False,False,False,False
LC877024.1,True,False,False,False,False,False
LC877025.1,True,False,False,False,False,False
LC877026.1,True,False,False,False,False,False
LC877027.1,True,False,False,False,False,False
LC877028.1,True,False,False,False,False,False
LC877029.1,True,False,False,False,False,False
LC877030.1,True,False,False,False,False,False
LC877031.1,True,False,False,False,False,False
LC877032.1,True,False,False,False,False,False
LC877033.1,True,False,False,False,False,False
LC877034.1,True,False,False,False,False,False
LC885325.1,True,False,False,False,False,False
LC885326.1,True,False,False,False,False,False
LN854563.1,True,False,False,False,False,False
LN854564.1,True,False,False,False,False,False
LN854565.1,True,False,False,False,False,False
LN854566.1,True,False,False,False,False,False
LN854567.1,True,False,False,False,False,False
LN854568.1,True,False,False,False,False,False
LN854569.1,True,False,False,False,False,False
LN854570.1,True,False,False,False,False,False
LN854571.1,True,False,False,False,False,False
LN854572.1,True,False,False,False,False,False
MF405169.1,True,False,False,False,False,False
MG049693.1,True,False,False,False,False,False
MH130046.1,True,False,False,False,False,False
MH218647.1,True,False,False,False,False,False
MH218649.1,True,False,False,False,False,False
MH218656.1,True,False,False,False,False,False
MH218659.1,True,False,False,False,False,False
MH218664.1,True,False,False,False,False,False
MH218720.1,True,False,False,False,False,False
MH218721.1,True,False,False,False,False,False
MH218722.1,True,False,False,False,False,False
MH218723.1,True,False,False,False,False,False
MH218724.1,True,False,False,False,False,False
MH218725.1,True,False,False,False,False,False
MH218726.1,True,False,False,False,False,False
MH218727.1,True,False,False,False,False,False
MH218728.1,True,False,False,False,False,False
MH218729.1,True,False,False,False,False,False
MH218730.1,True,False,False,False,False,False
MH608286.1,True,False,False,False,False,False
MK073885.1,True,False,False,False,False,False
MN227770.1,True,False,False,False,False,False
MN227771.1,True,False,False,False,False,False
MN227772.1,True,False,False,False,False,False
MN227773.1,True,False,False,False,False,False
MN227774.1,True,False,False,False,False,False
MN227775.1,True,False,False,False,False,False
MN227776.1,True,False,False,False,False,False
MN227777.1,True,False,False,False,False,False
MN448477.1,True,False,False,False,False,False
MN462922.1,True,False,False,False,False,False
MN473468.1,True,False,False,False,False,False
MT031988.1,True,False,False,False,False,False
MT089579.1,True,False,False,False,False,False
MT357991.1,True,False,False,False,False,False
MT357992.1,True,False,False,False,False,False
MT357993.1,True,False,False,False,False,False
MT357995.1,True,False,False,False,False,False
MT357996.1,True,False,False,False,False,False
MT372462.1,True,False,False,False,False,False
MT372463.1,True,False,False,False,False,False
MT372464.1,True,False,False,False,False,False
MT372465.1,True,False,False,False,False,False
MT372466.1,True,False,False,False,False,False
MT372467.1,True,False,False,False,False,False
MT372468.1,True,False,False,False,False,False
MT372469.1,True,False,False,False,False,False
MT372470.1,True,False,False,False,False,False
MT372474.1,True,False,False,False,False,False
MT372476.1,True,False,False,False,False,False
MT372477.1,True,False,False,False,False,False
MW228040.1,True,False,False,False,False,False
MZ220331.1,True,False,False,False,False,False
MZ223426.1,True,False,False,False,False,False
MZ227264.1,True,False,False,False,False,False
MZ227265.1,True,False,False,False,False,False
MZ546176.1,True,False,False,False,False,False
