accession,not_gii,duplicated,ambiguous,missing_required_region
LC209446.1,True,False,False,False
LC209447.1,True,False,False,False
LC209448.1,True,False,False,False
LC209450.1,True,False,False,False
LC209451.1,True,False,False,False
LC209452.1,True,False,False,False
LC209453.1,True,False,False,False
LC209454.1,True,False,False,False
LC209455.1,True,False,False,False
LC209456.1,True,False,False,False
LC209457.1,True,False,False,False
LC209458.1,True,False,False,False
LC209459.1,True,False,False,False
LC209460.1,True,False,False,False
LC209461.1,True,False,False,False
LC209462.1,True,False,False,False
LC209464.1,True,False,False,False
LC209465.1,True,False,False,False
LC209466.1,True,False,False,False
LC209468.1,True,False,False,False
LC209469.1,True,False,False,False
LC209470.1,True,False,False,False
LC209471.1,True,False,False,False
LC209472.1,True,False,False,False
LC209473.1,True,False,False,False
LC209474.1,True,False,False,False
LC209475.1,True,False,False,False
LC209476.1,True,False,False,False
LC209477.1,True,False,False,False
LC209478.1,True,False,False,False
LC209479.1,True,False,False,False
LC509011.1,True,False,False,False
LC644992.1,True,False,False,False
LC644993.1,True,False,False,False
LC646332.1,True,False,False,False
LC646333.1,True,False,False,False
LC699526.1,True,False,False,False
LC699527.1,True,False,False,False
LC699528.1,True,False,False,False
LC699529.1,True,False,False,False
LC699530.1,True,False,False,False
LC699531.1,True,False,False,False
LC699532.1,True,False,False,False
LC699533.1,True,False,False,False
LC699534.1,True,False,False,False
LC699535.1,True,False,False,False
LC699536.1,True,False,False,False
LC699537.1,True,False,False,False
LC699538.1,True,False,False,False
LC699539.1,True,False,False,False
LC699540.1,True,False,False,False
LC699541.1,True,False,False,False
LC790052.1,True,False,False,False
LC790053.1,True,False,False,False
LC790054.1,True,False,False,False
LC790056.1,True,False,False,False
LC790057.1,True,False,False,False
LC790058.1,True,False,False,False
LC790059.1,True,False,False,False
LC790060.1,True,False,False,False
LC790061.1,True,False,False,False
LC790062.1,True,False,False,False
LC790063.1,True,False,False,False
LC790064.1,True,False,False,False
LC790065.1,True,False,False,False
LC790066.1,True,False,False,False
LC790067.1,True,False,False,False
LC790068.1,True,False,False,False
LC790069.1,True,False,False,False
LC790070.1,True,False,False,False
LC877021.1,True,False,False,False
LC877022.1,True,False,False,False
LC877023.1,True,False,False,False
LC877024.1,True,False,False,False
LC877025.1,True,False,False,False
LC877026.1,True,False,False,False
LC877027.1,True,False,False,False
LC877028.1,True,False,False,False
LC877029.1,True,False,False,False
LC877030.1,True,False,False,False
LC877031.1,True,False,False,False
LC877032.1,True,False,False,False
LC877034.1,True,False,False,False
MG572715.1,True,False,False,True
MG572716.1,True,False,False,True
MG601448.1,False,False,False,True
MG601449.1,False,False,False,True
MG601450.1,False,False,False,True
MG601451.1,False,False,False,True
MG601452.1,False,False,False,True
MG601453.1,False,False,False,True
OM480530.1,True,False,False,False
PV087407.1,True,False,False,False
PV087408.1,True,False,False,False
PZ043826.1,True,False,False,False
U02030.1,True,False,False,True
U46500.1,True,False,False,True
X81879.1,True,False,False,True
