accession,not_gii,duplicated,ambiguous,missing_required_region
AB522421.1,True,False,False,True
AB522422.1,True,False,False,True
AB522423.1,True,False,False,True
AB525802.1,True,False,False,True
AB525803.1,True,False,False,True
AB525804.1,True,False,False,True
AB525805.1,True,False,False,True
AB525806.1,True,False,False,True
AB525807.1,True,False,False,True
AB525808.1,True,False,False,True
AB525809.1,True,False,False,True
AB525810.1,True,False,False,True
AB525811.1,True,False,False,True
AB525812.1,True,False,False,True
AB525813.1,True,False,False,True
AB525814.1,True,False,False,True
AB525815.1,True,False,False,True
AB535749.1,True,False,False,True
AB535750.1,True,False,False,True
AB539140.1,True,False,False,True
AB539141.1,True,False,False,True
AB539142.1,True,False,False,True
AB539143.1,True,False,False,True
AB539144.1,True,False,False,True
AB539145.1,True,False,False,True
AB539146.1,True,False,False,True
AB539147.1,True,False,False,True
AB539148.1,True,False,False,True
AB539149.1,True,False,False,True
AB539150.1,True,False,False,True
AB539151.1,True,False,False,True
AB539152.1,True,False,False,True
AB539153.1,True,False,False,True
AB539154.1,True,False,False,True
AB539155.1,True,False,False,True
AB539156.1,True,False,False,True
AB539157.1,True,False,False,True
AB539158.1,True,False,False,True
AB539159.1,True,False,False,True
AB539160.1,True,False,False,True
AB539161.1,True,False,False,True
AB539162.1,True,False,False,True
AB539163.1,True,False,False,True
AB542915.1,True,False,False,False
AB542916.1,True,False,False,False
AB542917.1,True,False,False,False
AB542918.1,True,False,False,False
AB555587.1,True,False,False,False
AB555588.1,True,False,False,False
AB555589.1,True,False,False,False
AB555590.1,True,False,False,False
AB555591.1,True,False,False,False
AB555592.1,True,False,False,False
AB555593.1,True,False,False,False
AB555594.1,True,False,False,False
AB591831.1,True,False,False,False
AB592958.1,True,False,False,False
AB592959.1,True,False,False,False
AB592960.1,True,False,False,False
AB592961.1,True,False,False,False
AB592962.1,True,False,False,False
AB592963.1,True,False,False,False
AB592964.1,True,False,False,False
AB592965.1,True,False,False,False
AB592966.1,True,False,False,False
AB592967.1,True,False,False,False
AB592968.1,True,False,False,False
AB621909.1,True,False,False,True
AB629941.1,True,False,False,False
AB629942.1,True,False,False,False
AB629943.1,True,False,False,False
AB629944.1,True,False,False,False
AB629945.1,True,False,False,False
AB629946.1,True,False,False,False
AB634460.1,True,False,False,True
AB634461.1,True,False,False,True
AB634462.1,True,False,False,True
AB634463.1,True,False,False,True
AB634464.1,True,False,False,True
AB634465.1,True,False,False,True
AB634466.1,True,False,False,True
AB634467.1,True,False,False,True
AB634468.1,True,False,False,True
AB634469.1,True,False,False,True
AB634470.1,True,False,False,True
AB634471.1,True,False,False,True
AB634472.1,True,False,False,True
AB634473.1,True,False,False,True
AB634474.1,True,False,False,True
AB634475.1,True,False,False,True
AB634476.1,True,False,False,True
AB634477.1,True,False,False,True
AB634478.1,True,False,False,True
AB634479.1,True,False,False,True
AB634480.1,True,False,False,True
AB634481.1,True,False,False,True
AB634482.1,True,False,False,True
AB634483.1,True,False,False,True
AB634484.1,True,False,False,True
AB634485.1,True,False,False,True
AB634486.1,True,False,False,True
AB634487.1,True,False,False,True
AB634488.1,True,False,False,True
AB634489.1,True,False,False,True
AB634490.1,True,False,False,True
AB634491.1,True,False,False,True
AB634492.1,True,False,False,True
AB634493.1,True,False,False,True
AB634861.1,True,False,False,True
AB634862.1,True,False,False,True
AB634863.1,True,False,False,True
AB634864.1,True,False,False,True
AB634865.1,True,False,False,True
AB634866.1,True,False,False,True
AB634867.1,True,False,False,True
AB634868.1,True,False,False,True
AB634869.1,True,False,False,True
AB634870.1,True,False,False,True
AB634871.1,True,False,False,True
AB634872.1,True,False,False,True
AB634873.1,True,False,False,True
AB634874.1,True,False,False,True
AB634875.1,True,False,False,True
AB634876.1,True,False,False,True
AB634877.1,True,False,False,True
AB634878.1,True,False,False,True
AB634879.1,True,False,False,True
AB634880.1,True,False,False,True
AB634881.1,True,False,False,True
AB634882.1,True,False,False,True
AB634883.1,True,False,False,True
AB634884.1,True,False,False,True
AB634885.1,True,False,False,True
AB634886.1,True,False,False,True
AB634887.1,True,False,False,True
AB634888.1,True,False,False,True
AB634889.1,True,False,False,True
AB634890.1,True,False,False,True
AB634891.1,True,False,False,True
AB634892.1,True,False,False,True
AB634893.1,True,False,False,True
AB634894.1,True,False,False,True
AB634895.1,True,False,False,True
AB634896.1,True,False,False,True
AB634897.1,True,False,False,True
AB634898.1,True,False,False,True
AB634899.1,True,False,False,True
AB634900.1,True,False,False,True
AB634901.1,True,False,False,True
AB634902.1,True,False,False,True
AB634903.1,True,False,False,True
AB634904.1,True,False,False,True
AB634905.1,True,False,False,True
AB634906.1,True,False,False,True
AB634907.1,True,False,False,True
AB634908.1,True,False,False,True
AB634909.1,True,False,False,True
AB634910.1,True,False,False,True
AB634911.1,True,False,False,True
AB634912.1,True,False,False,True
AB634913.1,True,False,False,True
AB634914.1,True,False,False,True
AB634915.1,True,False,False,True
AB634916.1,True,False,False,True
AB634917.1,True,False,False,True
AB634918.1,True,False,False,True
AB663684.1,True,False,False,True
AB663685.1,True,False,False,True
AB663686.1,True,False,False,True
AB663687.1,True,False,False,True
AB665364.1,True,False,False,False
AB684658.1,True,False,False,True
AB684659.1,True,False,False,True
AB684660.2,True,False,False,False
AB684661.1,True,False,False,True
AB684662.1,True,False,False,True
AB684663.1,True,False,False,True
AB684664.1,True,False,False,True
AB684665.1,True,False,False,True
AB684666.1,True,False,False,True
AB684667.1,True,False,False,True
AB684668.1,True,False,False,True
AB684669.1,True,False,False,True
AB684670.1,True,False,False,True
AB684671.2,True,False,False,False
AB684672.1,True,False,False,True
AB684673.1,True,False,False,True
AB684674.1,True,False,False,True
AB684675.1,True,False,False,True
AB684676.1,True,False,False,True
AB684677.1,True,False,False,True
AB684678.1,True,False,False,True
AB684679.1,True,False,False,True
AB684680.1,True,False,False,True
AB684681.2,True,False,False,True
AB684682.1,True,False,False,True
AB684683.1,True,False,False,True
AB684684.1,True,False,False,True
AB684685.1,True,False,False,True
AB684686.1,True,False,False,True
AB684687.1,True,False,False,True
AB684688.1,True,False,False,True
AB684689.1,True,False,False,True
AB684690.1,True,False,False,True
AB684691.1,True,False,False,True
AB684692.1,True,False,False,True
AB684693.1,True,False,False,True
AB684694.1,True,False,False,True
AB684695.1,True,False,False,True
AB684696.2,True,False,False,True
AB684697.2,True,False,False,False
AB684698.1,True,False,False,True
AB684699.1,True,False,False,True
AB684700.1,True,False,False,True
AB684701.1,True,False,False,True
AB684702.1,True,False,False,True
AB684703.1,True,False,False,True
AB684704.1,True,False,False,True
AB684705.1,True,False,False,True
AB684706.1,True,False,False,True
AB684707.1,True,False,False,True
AB684708.1,True,False,False,True
AB684709.1,True,False,False,True
AB684710.1,True,False,False,True
AB684711.1,True,False,False,True
AB684712.1,True,False,False,True
AB684713.1,True,False,False,True
AB684714.1,True,False,False,True
AB684715.1,True,False,False,True
AB684716.1,True,False,False,True
AB684717.1,True,False,False,True
AB684718.1,True,False,False,True
AB684719.1,True,False,False,True
AB684720.1,True,False,False,True
AB684721.2,True,False,False,False
AB684722.2,True,False,False,False
AB684723.1,True,False,False,True
AB684724.2,True,False,False,False
AB684725.2,True,False,False,False
AB684726.1,True,False,False,True
AB684727.1,True,False,False,True
AB684728.2,True,False,False,True
AB684729.1,True,False,False,True
AB685738.1,True,False,False,True
AB685739.1,True,False,False,True
AB685740.1,True,False,False,True
AB685741.1,True,False,False,True
AB685742.2,True,False,False,True
AB751625.1,True,False,False,True
AB751626.1,True,False,False,True
AB751627.1,True,False,False,True
AB751628.1,True,False,False,True
AB751629.1,True,False,False,True
AB751630.1,True,False,False,True
AB751631.1,True,False,False,True
AB751632.1,True,False,False,True
AB751633.1,True,False,False,True
AB751634.1,True,False,False,True
AB751635.1,True,False,False,True
AB751636.1,True,False,False,True
AB751637.1,True,False,False,True
AB751638.1,True,False,False,True
AB751639.1,True,False,False,True
AB751640.1,True,False,False,True
AB751641.1,True,False,False,True
AB751642.1,True,False,False,True
AB751643.1,True,False,False,True
AB751644.1,True,False,False,True
AB751645.1,True,False,False,True
AB751646.1,True,False,False,True
AB751647.1,True,False,False,True
AB751648.1,True,False,False,True
AB751649.1,True,False,False,True
AB751650.1,True,False,False,True
AB751651.1,True,False,False,True
AB751652.1,True,False,False,True
AB751653.1,True,False,False,True
AB751654.1,True,False,False,True
AB751655.1,True,False,False,True
AB751656.1,True,False,False,True
AB751657.1,True,False,False,True
AB751658.1,True,False,False,True
AB751659.1,True,False,False,True
AB751660.1,True,False,False,True
AB751661.1,True,False,False,True
AB757776.1,True,False,False,True
AB757777.1,True,False,False,True
AB757778.1,True,False,False,True
AB757779.1,True,False,False,True
AB757780.1,True,False,False,True
AB757781.1,True,False,False,True
AB757782.1,True,False,False,True
AB757783.1,True,False,False,True
AB757784.1,True,False,False,True
AB757785.1,True,False,False,True
AB757786.1,True,False,False,True
AB757787.1,True,False,False,True
AB757788.1,True,False,False,True
AB757789.1,True,False,False,True
AB757790.1,True,False,False,True
AB757791.1,True,False,False,True
AB757792.1,True,False,False,True
AB757793.1,True,False,False,True
AB758449.1,True,False,False,False
AB758450.1,True,False,False,False
AB758451.1,True,False,False,False
AB769843.1,True,False,False,True
AB769844.1,True,False,False,True
AB769845.1,True,False,False,True
AB769846.1,True,False,False,True
AB769847.1,True,False,False,True
AB769848.1,True,False,False,True
AB769849.1,True,False,False,True
AB769850.1,True,False,False,True
AB769851.1,True,False,False,True
AB769852.1,True,False,False,True
AB769853.1,True,False,False,True
AB769854.1,True,False,False,True
AB769855.1,True,False,False,True
AB769856.1,True,False,False,True
AB769857.1,True,False,False,True
AB769858.1,True,False,False,True
AB769859.1,True,False,False,True
AB769860.1,True,False,False,True
AB769861.1,True,False,False,True
AB769862.1,True,False,False,True
AB769863.1,True,False,False,True
AB819901.1,True,False,False,True
AB840770.1,True,False,False,True
AB855775.1,True,False,False,True
AB859017.1,True,False,False,False
AB859018.1,True,False,False,False
AB859019.1,True,False,False,False
AB859020.1,True,False,False,False
AB901029.1,True,False,False,True
AB901030.1,True,False,False,True
AB901031.1,True,False,False,True
AB901032.1,True,False,False,True
AB901033.1,True,False,False,True
AB901244.1,False,False,False,True
AB901245.1,False,False,False,True
AB901246.1,False,False,False,True
AB901247.1,False,False,False,True
AB901248.1,False,False,False,True
AB901249.1,False,False,False,True
AB901250.1,False,False,False,True
AB901251.1,False,False,False,True
AB901252.1,False,False,False,True
AB901253.1,False,False,False,True
AB901254.1,False,False,False,True
AB901255.1,False,False,False,True
AB901256.1,False,False,False,True
AB901257.1,False,False,False,True
AB901258.1,False,False,False,True
AB901259.1,False,False,False,True
AB901260.1,False,False,False,True
AB901261.1,False,False,False,True
AB901262.1,False,False,False,True
AB901263.1,False,False,False,True
AB901264.1,False,False,False,True
AB901265.1,False,False,False,True
AB901266.1,False,False,False,True
AB901267.1,False,False,False,True
AB901268.1,False,False,False,True
AB901269.1,False,False,False,True
AB901270.1,False,False,False,True
AB901271.1,False,False,False,True
AB901272.1,False,False,False,True
AB901273.1,False,False,False,True
AB901274.1,False,False,False,True
AB901275.1,False,False,False,True
AB901276.1,False,False,False,True
AB919085.1,True,False,False,True
AB919086.1,True,False,False,True
AB919087.1,True,False,False,True
AB919088.1,True,False,False,True
AB919089.1,True,False,False,True
AB919128.1,True,False,False,True
AB924666.1,True,False,False,True
AB924667.1,True,False,False,True
AB924668.1,True,False,False,True
AB924669.1,True,False,False,True
AB924670.1,True,False,False,True
AB924671.1,True,False,False,True
AB924672.1,True,False,False,True
AB924673.1,True,False,False,True
AB924674.1,True,False,False,True
AB924675.1,True,False,False,True
AB924676.1,True,False,False,True
AB924677.1,True,False,False,True
AB972506.1,True,False,False,False
AB972507.1,True,False,False,False
AB972508.1,True,False,False,False
AB972509.1,True,False,False,False
AB972510.1,True,False,False,False
AB972511.1,True,False,False,False
AB972512.1,True,False,False,False
AB972513.1,True,False,False,False
AB972514.1,True,False,False,False
AB972515.1,True,False,False,False
AB972516.1,True,False,False,False
AB972517.1,True,False,False,False
AB972518.1,True,False,False,False
AB972519.1,True,False,False,False
AB972520.1,True,False,False,False
AB972521.1,True,False,False,False
AB972522.1,True,False,False,False
AB972523.1,True,False,False,False
AB972524.1,True,False,False,False
AB972525.1,True,False,False,False
AB972526.1,True,False,False,False
AB972527.1,True,False,False,False
AB972528.1,True,False,False,False
AB972529.1,True,False,False,False
AB972530.1,True,False,False,False
AB972531.1,True,False,False,False
AB972532.1,True,False,False,False
AB972533.1,True,False,False,False
AB974408.1,True,False,False,True
AB985403.1,True,False,False,False
AB985404.1,True,False,False,False
AB985405.1,True,False,False,False
AB985406.1,True,False,False,False
AB985407.1,True,False,False,False
AB985408.1,True,False,False,False
AB985409.1,True,False,False,False
AB985410.1,True,False,False,False
AB985411.1,True,False,False,False
AB985412.1,True,False,False,False
AB985413.1,True,False,False,False
AB985414.1,True,False,False,False
AB985415.1,True,False,False,False
AB985416.1,True,False,False,False
AB985417.1,True,False,False,False
AB985419.1,True,False,False,False
AB985420.1,True,False,False,False
AB985421.1,True,False,False,False
AB985422.1,True,False,False,False
AB985423.1,True,False,False,False
AB985424.1,True,False,False,False
AB985425.1,True,False,False,False
AB985426.1,True,False,False,False
AB985427.1,True,False,False,False
AB985428.1,True,False,False,False
AB985429.1,True,False,False,False
AB985430.1,True,False,False,False
AB985431.1,True,False,False,False
AB985432.1,True,False,False,False
AB985433.1,True,False,False,False
AB985434.1,True,False,False,False
AB985435.1,True,False,False,False
AB985436.1,True,False,False,False
AB985437.1,True,False,False,False
AB985438.1,True,False,False,False
AB985439.1,True,False,False,False
AB985440.1,True,False,False,False
AB985441.1,True,False,False,False
AB985442.1,True,False,False,False
AB985443.1,True,False,False,False
AB985444.1,True,False,False,False
AB985445.1,True,False,False,False
AB985446.1,True,False,False,False
AB985447.1,True,False,False,False
AB985448.1,True,False,False,False
AB985449.1,True,False,False,False
AB985450.1,True,False,False,False
AB985451.1,True,False,False,False
AB985452.1,True,False,False,False
AB985453.1,True,False,False,False
AB985454.1,True,False,False,False
AB985455.1,True,False,False,False
AB985456.1,True,False,False,False
AB985457.1,True,False,False,False
AB985458.1,True,False,False,False
AB985459.1,True,False,False,False
AB985460.1,True,False,False,False
AB985461.1,True,False,False,False
AB985462.1,True,False,False,False
AB985463.1,True,False,False,False
AB985464.1,True,False,False,False
AB985465.1,True,False,False,False
AB985466.1,True,False,False,False
AB985467.1,True,False,False,False
AB985468.1,True,False,False,False
AB985469.1,True,False,False,False
AB985470.1,True,False,False,False
AB985471.1,True,False,False,False
AB985472.1,True,False,False,False
AB985473.1,True,False,False,False
AB985474.1,True,False,False,False
AB985475.1,True,False,False,False
AB985476.1,True,False,False,False
AB985477.1,True,False,False,False
AB985478.1,True,False,False,False
AB985479.1,True,False,False,False
AB985480.1,True,False,False,False
AB985481.1,True,False,False,False
AB985482.1,True,False,False,False
AB985483.1,True,False,False,False
AB985484.1,True,False,False,False
AB985485.1,True,False,False,False
AB985486.1,True,False,False,False
AB985487.1,True,False,False,False
AB985488.1,True,False,False,False
AB985489.1,True,False,False,False
AB985490.1,True,False,False,False
AF148865.1,True,False,False,True
AF148866.1,True,False,False,True
AF148867.1,True,False,False,True
AF148868.1,True,False,False,True
AF148869.1,True,False,False,True
AF148870.1,True,False,False,True
AF148871.1,True,False,False,True
AF148872.1,True,False,False,True
AF148873.1,True,False,False,True
AF148874.1,True,False,False,True
AF151531.1,True,False,False,True
AF153365.1,True,False,False,True
AF190817.1,True,False,False,True
AF190818.1,True,False,False,True
AF216528.1,True,False,False,True
AF216529.1,True,False,False,True
AF218038.1,True,False,False,True
AF268459.1,True,False,False,True
AF268460.1,True,False,False,True
AF408850.1,False,False,False,True
AF408851.1,False,False,False,True
AF408852.1,False,False,False,True
AF408853.1,False,False,False,True
AF408854.1,False,False,False,True
AF408855.1,False,False,False,True
AF408856.1,False,False,False,True
AF408857.1,False,False,False,True
AH014839.2,True,False,True,True
AH014853.2,True,False,True,True
AH014854.2,True,False,True,True
AJ865474.1,True,False,False,True
AJ865475.1,True,False,False,True
AJ865476.1,True,False,False,True
AJ865477.1,True,False,False,True
AJ865478.1,True,False,False,True
AJ865479.1,True,False,False,True
AJ865480.1,True,False,False,True
AJ865481.1,True,False,False,True
AJ865482.1,True,False,False,True
AJ865483.1,True,False,False,True
AJ865484.1,True,False,False,True
AJ865485.1,True,False,False,True
AJ865486.1,True,False,False,True
AJ865487.1,True,False,False,True
AJ865488.1,True,False,False,True
AJ865489.1,True,False,False,True
AJ865490.1,True,False,False,True
AJ865491.1,True,False,False,True
AJ865492.1,True,False,False,True
AJ865493.1,True,False,False,True
AJ865494.1,True,False,False,True
AJ865495.1,True,False,False,True
AJ865496.1,True,False,False,True
AJ865497.1,True,False,False,True
AJ865498.1,True,False,False,True
AJ865499.1,True,False,False,True
AJ865500.1,True,False,False,True
AJ865501.1,True,False,False,True
AJ865502.1,True,False,False,True
AJ865503.1,True,False,False,True
AJ865504.1,True,False,False,True
AJ865505.1,True,False,False,True
AJ865506.1,True,False,False,True
AJ865507.1,True,False,False,True
AJ865508.1,True,False,False,True
AJ865509.1,True,False,False,True
AJ865510.1,True,False,False,True
AJ865511.1,True,False,False,True
AJ865512.1,True,False,False,True
AJ865513.1,True,False,False,True
AJ865514.1,True,False,False,True
AJ865515.1,True,False,False,True
AJ865516.1,True,False,False,True
AJ865517.1,True,False,False,True
AJ865518.1,True,False,False,True
AJ865519.1,True,False,False,True
AJ865520.1,True,False,False,True
AJ865521.1,True,False,False,True
AJ865522.1,True,False,False,True
AJ865523.1,True,False,False,True
AJ865524.1,True,False,False,True
AJ865525.1,True,False,False,True
AJ865526.1,True,False,False,True
AJ865527.1,True,False,False,True
AJ865528.1,True,False,False,True
AJ865529.1,True,False,False,True
AJ865530.1,True,False,False,True
AJ865531.1,True,False,False,True
AJ865532.1,True,False,False,True
AJ865533.1,True,False,False,True
AJ865534.1,True,False,False,True
AJ865535.1,True,False,False,True
AJ865536.1,True,False,False,True
AJ865537.1,True,False,False,True
AJ865538.1,True,False,False,True
AJ865539.1,True,False,False,True
AJ865540.1,True,False,False,True
AJ865541.1,True,False,False,True
AJ865542.1,True,False,False,True
AJ865543.1,True,False,False,True
AJ865544.1,True,False,False,True
AJ865545.1,True,False,False,True
AJ865546.1,True,False,False,True
AJ865547.1,True,False,False,True
AJ865548.1,True,False,False,True
AJ865549.1,True,False,False,True
AJ865550.1,True,False,False,True
AJ865551.1,True,False,False,True
AJ865552.1,True,False,False,True
AJ865553.1,True,False,False,True
AJ865554.1,True,False,False,True
AJ865555.1,True,False,False,True
AJ865556.1,True,False,False,True
AJ865557.1,True,False,False,True
AJ865558.1,True,False,False,True
AJ865559.1,True,False,False,True
AJ865560.1,True,False,False,True
AJ865561.1,True,False,False,True
AJ865562.1,True,False,False,True
AJ865563.1,True,False,False,True
AJ865564.1,True,False,False,True
AJ865565.1,True,False,False,True
AJ865566.1,True,False,False,True
AJ865567.1,True,False,False,True
AJ865568.1,True,False,False,True
AJ865569.1,True,False,False,True
AJ865570.1,True,False,False,True
AJ865571.1,True,False,False,True
AJ865572.1,True,False,False,True
AJ865573.1,True,False,False,True
AJ865574.1,True,False,False,True
AJ865575.1,True,False,False,True
AJ865576.1,True,False,False,True
AJ865577.1,True,False,False,True
AJ865578.1,True,False,False,True
AJ865579.1,True,False,False,True
AJ865580.1,True,False,False,True
AJ865581.1,True,False,False,True
AJ865582.1,True,False,False,True
AJ865583.1,True,False,False,True
AJ865584.1,True,False,False,True
AJ865585.1,True,False,False,True
AJ865586.1,True,False,False,True
AJ865587.1,True,False,False,True
AJ865588.1,True,False,False,True
AM237438.1,True,False,False,True
AM397872.1,True,False,False,True
AM397873.1,True,False,False,True
AM397874.1,True,False,False,True
AM397875.1,True,False,False,True
AM397876.1,True,False,False,True
AM397877.1,True,False,False,True
AM397878.1,True,False,False,True
AM397879.1,True,False,False,True
AM397880.1,True,False,False,True
AM397881.1,True,False,False,True
AM397882.1,True,False,False,True
AM397883.1,True,False,False,True
AM397884.1,True,False,False,True
AM397885.1,True,False,False,True
AM397886.1,True,False,False,True
AM397887.1,True,False,False,True
AM397888.1,True,False,False,True
AM397889.1,True,False,False,True
AM397890.1,True,False,False,True
AM397891.1,True,False,False,True
AM397892.1,True,False,False,True
AM397893.1,True,False,False,True
AM397894.1,True,False,False,True
AM397895.1,True,False,False,True
AM397896.1,True,False,False,True
AM397897.1,True,False,False,True
AM397898.1,True,False,False,True
AM397899.1,True,False,False,True
AM397900.1,True,False,False,True
AM712389.1,True,False,False,False
AM712390.1,True,False,False,False
AM712391.1,True,False,False,False
AM712392.1,True,False,False,False
AM712393.1,True,False,False,False
AM712394.1,True,False,False,False
AM712395.1,True,False,False,False
AM712396.1,True,False,False,False
AM712397.1,True,False,False,False
AM712398.1,True,False,False,False
AM712399.1,True,False,False,False
AM712400.1,True,False,False,False
AM712401.1,True,False,False,False
AM712402.1,True,False,False,False
AM712403.1,True,False,False,False
AM712404.1,True,False,False,False
AM712405.1,True,False,False,False
AM712406.1,True,False,False,False
AM712407.1,True,False,False,False
AM712408.1,True,False,False,False
AM712409.1,True,False,False,False
AM712410.1,True,False,False,False
AM712411.1,True,False,False,False
AM712412.1,True,False,False,False
AM712413.1,True,False,False,False
AM712414.1,True,False,False,False
AM712415.1,True,False,False,False
AM712416.1,True,False,False,False
AM712417.1,True,False,False,False
AM712418.1,True,False,False,False
AM712419.1,True,False,False,False
AM712420.1,True,False,False,False
AM712421.1,True,False,False,False
AM712422.1,True,False,False,False
AM712423.1,True,False,False,False
AM712424.1,True,False,False,False
AM712425.1,True,False,False,False
AM712426.1,True,False,False,False
AM712427.1,True,False,False,False
AM712428.1,True,False,False,False
AM712429.1,True,False,False,False
AM712430.1,True,False,False,False
AM712431.1,True,False,False,False
AM712432.1,True,False,False,False
AM712433.1,True,False,False,False
AM712434.1,True,False,False,False
AM904701.1,True,False,False,False
AM904702.1,True,False,False,False
AM904703.1,True,False,False,False
AM904704.1,True,False,False,False
AM904705.1,True,False,False,False
AM904706.1,True,False,False,False
AM904707.1,True,False,False,False
AM904708.1,True,False,False,False
AM904709.1,True,False,False,False
AM904710.2,True,False,False,False
AM904711.1,True,False,False,False
AM904712.1,True,False,False,False
AM904713.1,True,False,False,False
