accession,not_gii,under_length_threshold,duplicated,ambiguous
EF187497.2,True,False,False,False
EF684915.2,True,False,False,False
EU921344.2,True,False,False,False
EU921388.2,True,False,False,False
EU921389.2,True,False,False,False
HF952122.1,True,False,False,False
HF952124.1,True,False,False,False
HF952125.1,True,False,False,False
HF952128.1,True,False,False,False
HF952130.1,True,False,False,False
HF952132.1,True,False,False,False
HF952133.1,True,False,False,False
HF952135.1,True,False,False,False
HQ392821.1,True,False,False,False
JQ613572.1,True,False,False,False
JQ613573.1,True,False,False,False
KC517361.1,True,False,False,False
KC517362.1,True,False,False,False
KC517364.1,True,False,False,False
KC517365.1,True,False,False,False
KC517368.1,True,False,False,False
KC517369.1,True,False,False,False
KC517372.1,True,False,False,False
KC517376.1,True,False,False,False
KC517377.1,True,False,False,False
KC517378.1,True,False,False,False
KC631814.1,True,False,False,False
KC631815.1,True,False,False,False
KJ194504.1,True,False,False,False
KM198573.1,True,False,False,False
KR154230.1,True,False,False,False
KR154231.1,True,False,False,False
KT992785.1,True,False,False,False
KT992787.1,True,False,False,False
KT992788.1,True,False,False,False
KT992790.1,True,False,False,False
KU557783.1,True,False,False,False
KU557784.1,True,False,False,False
KU557785.1,True,False,False,False
KU557788.1,True,False,False,False
KU557790.1,True,False,False,False
KX356908.1,True,False,False,False
KX907727.1,True,False,False,False
KY348697.1,True,False,False,False
KY348698.1,True,False,False,False
KY421121.1,True,False,False,False
KY421122.1,True,False,False,False
KY771081.1,True,False,False,False
LC066046.2,True,False,False,False
LC145786.1,True,False,False,False
LC145787.1,True,False,False,False
LC145788.1,True,False,False,False
LC145789.1,True,False,False,False
LC145790.1,True,False,False,False
LC145791.1,True,False,False,False
LC145792.1,True,False,False,False
LC145793.1,True,False,False,False
LC145794.1,True,False,False,False
LC145795.1,True,False,False,False
LC145796.1,True,False,False,False
LC145797.1,True,False,False,False
LC145798.1,True,False,False,False
LC145799.1,True,False,False,False
LC145800.1,True,False,False,False
LC145801.1,True,False,False,False
LC145802.1,True,False,False,False
LC145803.1,True,False,False,False
LC145804.1,True,False,False,False
LC145805.1,True,False,False,False
LC145806.1,True,False,False,False
LC145807.1,True,False,False,False
LC145808.1,True,False,False,False
LC384108.1,True,False,False,False
LC384109.1,True,False,False,False
LC384110.1,True,False,False,False
LC384111.1,True,False,False,False
LC384112.1,True,False,False,False
LC389583.1,True,False,False,False
MF167650.1,True,False,False,False
MF167651.1,True,False,False,False
MF167652.1,True,False,False,False
MF421538.1,True,False,False,False
MF421539.1,True,False,False,False
MF421540.1,True,False,False,False
MF421541.1,True,False,False,False
MF421542.1,True,False,False,False
MF918359.2,True,False,False,False
MK073886.1,True,False,False,False
MK073891.1,True,False,False,False
NC_029646.1,True,False,False,False
NC_039476.1,True,False,False,False
ON595846.1,True,False,False,False
U07611.2,True,False,False,False
X86557.1,True,False,False,False
