accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,genotype,genotype_subtype,vp1_start,vp1_end
MH218654.1,81.2374,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218655.1,78.11222,0,7537,7537,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MH218657.1,85.87811,0,7497,7497,GII.P31,None,3572.0,5101.0,GII.2,None,5085,6713
MH218658.1,87.14479,6,7545,7542,GII.P7,None,3500.0,5098.0,GII.7,None,5079,6701
MH218660.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218661.1,87.21245,6,7541,7538,GII.P7,None,3500.0,5098.0,GII.7,None,5079,6701
MH218662.1,84.992615,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218663.1,84.992615,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218665.1,84.34152,0,7560,7554,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218666.1,87.85345,6,7530,7521,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218667.1,87.54812,6,7530,7521,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218668.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218669.1,84.14053,0,7570,7564,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218670.1,84.238144,0,7556,7550,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218671.1,80.93477,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218672.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218673.1,87.85345,6,7530,7521,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218674.1,84.959816,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218675.1,80.93477,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218676.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218677.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218678.1,80.88433,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218679.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218680.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218681.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218682.1,80.901146,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218683.1,80.901146,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218684.1,75.87683,0,7573,7567,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MH218685.1,75.79878,0,7565,7559,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MH218686.1,80.901146,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218687.1,87.47838,6,7555,7546,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218688.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218689.1,75.646484,0,7556,7562,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
MH218690.1,80.91795,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218691.1,84.440414,0,7556,7550,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218692.1,87.38159,6,7505,7502,GII.P7,None,3500.0,5098.0,GII.7,None,5079,6701
MH218693.1,80.88433,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218694.1,85.091034,0,7553,7547,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218695.1,84.59898,0,7580,7574,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218696.1,81.05794,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218697.1,85.81711,0,7545,7545,GII.P31,None,3572.0,5101.0,GII.2,None,5085,6713
MH218698.1,84.68099,0,7577,7571,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218699.1,85.10743,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218700.1,85.12383,0,7577,7571,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218701.1,84.992615,0,7552,7546,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218702.1,85.173035,0,7523,7517,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218703.1,84.68099,0,7558,7552,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218704.1,84.61539,0,7575,7569,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218705.1,85.05823,0,7569,7563,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218706.1,84.992615,0,7574,7568,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218707.1,85.041824,0,7523,7517,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218708.1,85.091034,0,7574,7568,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218709.1,85.07463,0,7523,7517,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218710.1,84.43497,0,7523,7517,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218711.1,85.140236,0,7557,7551,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218712.1,81.06927,0,7555,7555,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218713.1,84.66459,0,7523,7517,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218714.1,84.35296,0,7519,7513,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218715.1,85.140236,0,7572,7566,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218716.1,84.648186,0,7542,7536,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218717.1,81.05794,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218718.1,84.59898,0,7552,7546,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218719.1,87.43846,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218731.1,81.75027,0,7498,7498,GII.P33,None,3578.0,5107.0,GII.1,None,5091,6698
MH218732.1,81.06927,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218733.1,85.99279,0,7550,7550,GII.P31,None,3572.0,5101.0,GII.2,None,5085,6713
MH218734.1,77.90811,0,7536,7536,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MH218735.1,78.207436,0,7537,7537,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MH218736.1,78.17467,0,7537,7537,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MH218737.1,78.19401,0,7537,7537,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MH218738.1,81.2374,0,7563,7563,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH321825.1,76.55917,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
MH413070.1,85.33224,2,7566,7558,GII.P4,Hunter_2004,3570.0,5099.0,GII.4,Hunter_2004,5083,6705
MH671553.1,77.83412,0,7536,7536,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MH979229.1,76.48693,0,7546,7546,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
MH979230.1,85.52941,0,7513,7516,GII.P31,None,3572.0,5104.0,GII.4,Sydney_2012,5088,6710
MK282256.1,75.74718,0,7595,7601,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
MK282257.1,75.84518,0,7594,7600,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
MK282258.1,75.79618,0,7593,7599,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
MK483908.2,77.37905,0,7539,7539,GII.P16,None,3572.0,5101.0,GII.1,None,5085,6692
MK483909.2,75.86889,2,7592,7584,GII.P16,None,3570.0,5099.0,GII.4,Sydney_2016,5083,6705
MK629457.1,75.761566,0,7565,7559,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK641589.1,87.03924,6,7532,7529,GII.P7,None,3566.0,5095.0,GII.14,None,5079,6689
MK752935.1,76.43406,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
MK752936.1,75.712166,0,7562,7556,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK752938.1,75.8439,0,7579,7573,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK753015.1,77.82665,0,7536,7536,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MK753032.1,75.90977,0,7578,7572,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK762621.1,75.761566,0,7571,7565,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK762624.1,75.8439,0,7564,7558,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK762635.1,76.41525,0,7568,7568,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK762638.1,76.00857,0,7569,7563,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK764016.1,75.77803,0,7561,7555,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK764040.1,78.04678,0,7532,7529,GII.P2,None,3569.0,5098.0,GII.2,None,5082,6710
MK773584.1,75.72864,0,7565,7559,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MK789432.1,75.76351,0,7552,7558,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
MK789435.1,84.97622,0,7575,7569,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MK934772.1,85.297516,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MN400355.2,85.2966,0,7556,7556,GII.P31,None,3500.0,5104.0,GII.4,Hong_Kong_2019,5085,6707
MN447470.1,76.397766,0,7552,7579,GII.P16,None,3566.0,5095.0,GII.16,None,5079,6701
MN447471.1,76.397766,0,7551,7578,GII.P16,None,3566.0,5095.0,GII.16,None,5079,6701
MN453358.1,69.873505,9,7536,7530,GII.P23,None,3563.0,5092.0,GII.23,None,5076,6707
MN453359.1,68.44744,9,7529,7523,GII.P24,None,3563.0,5092.0,GII.24,None,5076,6704
MN525276.1,75.72864,0,7582,7576,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MN853414.1,75.82884,0,7550,7556,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
MN897754.1,85.000824,0,7582,7576,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MN897755.1,75.81097,0,7586,7580,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MN897756.1,75.86037,0,7569,7563,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MT026582.1,84.539314,0,7563,7557,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MT028542.1,84.730194,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MT029316.1,76.096085,0,7604,7604,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MT031761.1,75.942696,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MT031821.1,75.77803,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MT032004.1,75.92623,0,7570,7564,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MT232050.1,85.140236,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MT238671.1,75.81097,0,7585,7579,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MT712130.1,85.63249,0,7527,7533,GII.P33,None,3578.0,5107.0,GII.12,None,5091,6698
MT712147.1,85.63249,0,7527,7533,GII.P33,None,3578.0,5107.0,GII.12,None,5091,6698
MT712157.1,84.92701,0,7575,7569,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MT720841.1,76.32312,0,7509,7506,GII.P16,None,3569.0,5098.0,GII.13,None,5082,6710
MT724793.1,78.030426,0,7536,7536,GII.P2,None,3572.0,5101.0,GII.2,None,5085,6713
MT725762.1,84.37449,0,7572,7566,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MT726225.1,85.140236,0,7574,7568,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MT729788.1,83.94292,0,7570,7564,GII.P4,Could not assign,3572.0,5101.0,GII.4,Yerseke_2006a,5085,6707
MT729791.1,75.84518,0,7555,7561,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
MT731279.1,87.72419,6,7570,7561,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6722
MT731332.1,86.56969,6,7556,7553,GII.P7,None,3566.0,5095.0,GII.7,None,5079,6701
MT738527.1,76.666664,0,7550,7550,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
MT755733.1,89.23594,0,7557,7557,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
MW243610.2,92.599976,6,7570,7564,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6731
MW305737.1,89.039635,6,7565,7556,GII.P6,None,3566.0,5095.0,GII.6,None,5079,6722
MW661246.1,76.47155,0,7628,7625,GII.P16,None,3569.0,5098.0,GII.2,None,5082,6710
MW661253.1,75.564644,0,7583,7589,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
MW661264.1,75.78497,0,7624,7618,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MW661266.1,77.991196,0,7517,7511,GII.P16,None,3572.0,5101.0,GII.1,None,5085,6692
MW661271.1,77.991196,0,7524,7518,GII.P16,None,3572.0,5101.0,GII.1,None,5085,6692
MW661272.1,78.03121,0,7535,7529,GII.P16,None,3572.0,5101.0,GII.1,None,5085,6692
MW661273.1,76.46096,0,7533,7533,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
MW661274.1,87.830475,6,7559,7550,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6722
MW661275.1,87.830475,6,7593,7584,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6722
MW661278.1,76.00857,0,7611,7605,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MW661281.1,85.1162,0,7606,7600,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MW661282.1,75.97563,0,7609,7603,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
MW661284.1,92.29338,6,7579,7570,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6731
MW981327.1,84.885445,0,7560,7554,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MZ233536.1,84.85248,0,7574,7568,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,New_Orleans_2009,5085,6707
MZ268408.1,76.405045,0,7497,7494,GII.P16,None,3569.0,5098.0,GII.13,None,5082,6710
MZ291631.1,75.84518,0,7550,7556,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
MZ312111.1,87.24809,6,7550,7544,GII.P7,None,3566.0,5095.0,GII.9,None,5079,6692
NC_039477.1,75.87683,0,7573,7567,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
NC_040876.1,87.85345,6,7530,7521,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6722
NC_044932.1,73.92179,9,7531,7525,GII.PNA2,None,3563.0,5092.0,GII.NA2,None,5076,6704
OK376253.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376254.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376255.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376256.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376258.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376259.1,76.69013,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376260.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376261.1,76.657394,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376262.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376263.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OK376264.1,76.67376,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OL451532.1,69.155556,-36,7548,7584,GII.P25,None,3608.0,5137.0,GII.3,None,5121,6767
OL451533.1,69.155556,-36,7548,7584,GII.P25,None,3608.0,5137.0,GII.3,None,5121,6767
OL898506.1,81.93944,0,7520,7520,GII.P33,None,3578.0,5107.0,GII.1,None,5091,6698
OL898507.1,76.646515,0,7536,7536,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OL898508.1,85.304245,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
OL898509.1,85.15663,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OL898510.1,85.173035,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OL898511.1,85.231575,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OL898512.1,75.7451,0,7576,7570,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OL898513.1,87.124176,6,7538,7529,GII.P7,None,3566.0,5095.0,GII.14,None,5079,6689
OL898514.1,75.81097,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OL898515.1,75.8439,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OL898516.1,84.86632,0,7568,7568,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OL913975.1,90.2267,0,7548,7548,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
OL913976.1,84.92701,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OL913977.1,85.173035,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OL943799.1,84.238144,0,7564,7558,GII.P4,Den_Haag_2006b,3572.0,5101.0,GII.4,Could not assign,5085,6707
OL943800.1,84.566185,0,7565,7559,GII.P4,Den_Haag_2006b,3572.0,5101.0,GII.4,New_Orleans_2009,5085,6707
OL943801.1,76.252106,0,7549,7546,GII.P16,None,3569.0,5098.0,GII.3,None,5082,6728
OL943802.1,83.7015,0,7531,7546,GII.P31,None,3572.0,5101.0,GII.17,None,5085,6707
ON329737.1,75.708435,0,7587,7581,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
ON569431.1,89.48782,0,7556,7556,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
OP037976.1,75.757576,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037977.1,75.741196,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037978.1,75.659294,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037979.1,75.692055,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037980.1,75.724815,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037981.1,75.642914,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037982.1,75.724815,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP037983.1,75.659294,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP686903.1,76.4552,0,7542,7548,GII.P16,None,3572.0,5101.0,GII.10,None,5085,6731
OP686904.1,93.28815,0,7527,7533,GII.P8,None,3572.0,5101.0,GII.8,None,5085,6698
OP689557.1,76.55917,0,7545,7545,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OP689558.1,76.55917,0,7545,7545,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
OP689689.1,75.891975,0,7559,7565,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
OP690425.1,87.773796,6,7569,7560,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6728
OP690426.1,87.773796,6,7569,7560,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6728
OP690427.1,81.29984,0,7527,7527,GII.P16,None,3572.0,5101.0,GII.12,None,5085,6692
OP690505.1,69.04889,-36,7537,7573,GII.P25,None,3608.0,5137.0,GII.3,None,5121,6767
OP712196.1,87.197235,6,7596,7587,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6722
OP712197.1,89.118385,0,7586,7586,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
OP712198.1,75.85586,0,7605,7599,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OP712199.1,75.891975,0,7575,7581,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
OP901692.1,87.330315,6,7596,7587,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6722
OP901693.1,89.40386,0,7586,7586,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
OP901694.1,75.659294,0,7605,7599,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ342793.1,69.58319,-36,7548,7584,GII.P25,None,3608.0,5137.0,GII.3,None,5121,6767
OQ940068.1,75.82743,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940069.1,75.57739,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940070.1,75.62653,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940071.1,75.757576,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940072.1,75.57739,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940073.1,75.83948,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940074.1,75.675674,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940075.1,75.724815,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940076.1,75.708435,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940077.1,75.77396,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940078.1,75.741196,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940079.1,75.77396,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940080.1,75.692055,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940081.1,75.79034,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OQ940082.1,75.642914,0,7566,7560,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
OR062612.1,75.74718,0,7555,7561,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
OR262325.1,84.779396,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
OR536466.1,80.70529,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536467.1,80.75567,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536468.1,80.9068,0,7537,7537,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536469.1,80.570946,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
