accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
LC769705.1,75.92715,9,7581,7566,GII.P16,None,3500.0,5095.0,polyprotein_fallback,GII.4,Sydney_2016,5076.0,6698.0,True,20
LC769706.1,76.30204,21,7546,7525,GII.P16,None,3500.0,5083.0,polyprotein_fallback,GII.3,None,5064.0,6710.0,True,20
LC769707.1,75.77957,12,7571,7553,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.4,Sydney_2016,5073.0,6695.0,True,20
LC769709.1,76.22813,10,7553,7543,GII.P16,None,3500.0,5094.0,polyprotein_fallback,GII.3,None,5075.0,6721.0,True,20
LC769712.1,76.34897,5,7541,7536,GII.P16,None,3500.0,5099.0,polyprotein_fallback,GII.3,None,5080.0,6726.0,True,20
LC769713.1,76.34499,6,7558,7552,GII.P16,None,3500.0,5098.0,polyprotein_fallback,GII.3,None,5079.0,6725.0,True,20
LC769714.1,75.66408,12,7550,7532,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.4,Sydney_2016,5073.0,6695.0,True,20
LC769715.1,76.42701,15,7546,7531,GII.P16,None,3500.0,5089.0,polyprotein_fallback,GII.3,None,5070.0,6716.0,True,20
LC699526.1,85.53992,18,7541,7523,GII.P31,None,3500.0,5086.0,polyprotein_fallback,GII.4,Could not assign,5067.0,6689.0,True,20
LC699527.1,85.68282,15,7549,7534,GII.P31,None,3500.0,5089.0,polyprotein_fallback,GII.4,Could not assign,5070.0,6692.0,True,20
LC699528.1,85.56893,20,7525,7505,GII.P31,None,3500.0,5084.0,polyprotein_fallback,GII.4,Could not assign,5065.0,6687.0,True,20
LC699529.1,85.571884,28,7525,7497,GII.P31,None,3500.0,5076.0,polyprotein_fallback,GII.4,Sydney_2012,5057.0,6679.0,True,20
LC699530.1,85.67558,11,7524,7513,GII.P31,None,3500.0,5093.0,polyprotein_fallback,GII.4,Could not assign,5074.0,6696.0,True,20
LC699531.1,85.54953,21,7524,7503,GII.P31,None,3500.0,5083.0,polyprotein_fallback,GII.4,Could not assign,5064.0,6686.0,True,20
LC699532.1,85.610664,19,7563,7544,GII.P31,None,3500.0,5085.0,polyprotein_fallback,GII.4,Sydney_2012,5066.0,6688.0,True,20
LC699533.1,85.60364,8,7513,7505,GII.P31,None,3500.0,5096.0,polyprotein_fallback,GII.4,Sydney_2012,5077.0,6699.0,True,20
LC699534.1,85.079315,14,7531,7511,GII.P31,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2012,5071.0,6693.0,True,20
LC699535.1,85.61504,15,7542,7527,GII.P31,None,3500.0,5089.0,polyprotein_fallback,GII.4,Sydney_2012,5070.0,6692.0,True,20
LC699536.1,85.56422,15,7542,7527,GII.P31,None,3500.0,5089.0,polyprotein_fallback,GII.4,Sydney_2012,5070.0,6692.0,True,20
LC699537.1,85.57138,19,7553,7534,GII.P31,None,3500.0,5085.0,polyprotein_fallback,GII.4,Sydney_2012,5066.0,6688.0,True,20
LC699538.1,84.916565,14,7559,7539,GII.P31,None,3500.0,5090.0,polyprotein_fallback,GII.4,Could not assign,5071.0,6693.0,True,20
LC699539.1,84.831924,28,7535,7501,GII.P31,None,3500.0,5076.0,polyprotein_fallback,GII.4,Could not assign,5057.0,6679.0,True,20
LC699540.1,84.81684,34,7540,7500,GII.P31,None,3500.0,5070.0,polyprotein_fallback,GII.4,Could not assign,5051.0,6673.0,True,20
LC699541.1,85.30206,21,7524,7503,GII.P31,None,3500.0,5083.0,polyprotein_fallback,GII.4,Could not assign,5064.0,6686.0,True,20
OM480530.1,75.56988,60,7541,7484,GII.P17,None,3500.0,5050.0,polyprotein_fallback,GII.17,None,5031.0,6653.0,True,20
KY496328.1,69.802246,225,7485,7263,GII.P23,None,,,,GII.23,None,4860.0,6491.0,False,0
KX592170.1,74.23581,4282,7576,3291,GII.P17,None,1.0,822.0,annotated_rdrp,GII.17,None,803.0,2425.0,True,20
KX592171.1,74.18122,4282,7576,3291,GII.P17,None,1.0,822.0,annotated_rdrp,GII.17,None,803.0,2425.0,True,20
KX592172.1,74.01746,4282,7576,3291,GII.P17,None,1.0,822.0,annotated_rdrp,GII.17,None,803.0,2425.0,True,20
KP244313.1,77.24518,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244314.1,75.02508,4282,7562,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244315.1,77.30028,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244316.1,77.41047,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244317.1,77.30028,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244318.1,78.7988,4282,7559,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244319.1,77.19009,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244320.1,77.13499,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244321.1,77.13499,4282,7565,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
KP244322.1,75.13784,4282,7562,3277,GII.P4,New_Orleans_2009,1.0,822.0,annotated_rdrp,GII.4,New_Orleans_2009,803.0,2425.0,True,20
LC043167.1,75.77843,21,7549,7534,GII.P17,None,3500.0,5092.0,polyprotein_fallback,GII.17,None,5073.0,6689.0,True,20
LC043168.1,75.860374,21,7550,7535,GII.P17,None,3500.0,5092.0,polyprotein_fallback,GII.17,None,5073.0,6689.0,True,20
LC037415.1,75.80513,6,7555,7555,GII.P17,None,3500.0,5107.0,polyprotein_fallback,GII.17,None,5088.0,6710.0,True,20
AY823303.1,73.23327,4317,7546,3229,Could,None,1.0,784.0,annotated_rdrp,GII.11,None,,,False,0
AY823304.1,73.35789,4317,7633,3316,GII.P18,None,1.0,787.0,annotated_rdrp,GII.18,None,,,False,0
AY823306.1,70.67545,4317,7546,3229,GII.P11,None,1.0,784.0,annotated_rdrp,GII.19,None,,,False,0
AY823307.1,70.67545,4317,7546,3229,GII.P11,None,1.0,784.0,annotated_rdrp,GII.19,None,,,False,0
AY652979.1,77.350426,4317,7547,3230,GII.P21,None,1.0,784.0,annotated_rdrp,GII.3,None,,,False,0
AF539439.1,76.39296,4589,7441,2852,GII.P21,None,1.0,515.0,annotated_rdrp,GII.3,None,,,False,0
AF539440.1,76.317856,4684,7434,2750,GII.P21,None,1.0,420.0,annotated_rdrp,GII.3,None,,,False,0
PV087407.1,90.473785,24,7145,7121,GII.P12,None,3500.0,5080.0,polyprotein_fallback,GII.3,None,5061.0,6707.0,True,20
PV087408.1,83.619705,115,7567,7449,GII.P4,Den_Haag_2006b,,,,GII.4,Den_Haag_2006b,4970.0,6592.0,False,0
OL468714.1,87.37657,6,7503,7494,GII.P7,None,3566.0,5095.0,annotated_rdrp,GII.6,None,5079.0,6722.0,True,17
MN567957.1,72.68932,25,7078,7044,Could,None,3547.0,5064.0,annotated_rdrp,GII.11,None,5051.0,6694.0,True,14
AB983218.1,75.85418,6,7550,7550,GII.P17,None,3500.0,5107.0,polyprotein_fallback,GII.17,None,5088.0,6704.0,True,20
HM346627.1,72.732956,4317,7557,3240,GII.P11,None,1.0,784.0,annotated_rdrp,GII.11,None,,,False,0
AB541190.1,76.623375,4762,7513,2751,GII.P31,None,,,,GII.4,Osaka_2007,323.0,1945.0,False,0
AB541192.1,76.20253,4762,7510,2748,GII.P4,Apeldoorn_2007,,,,GII.4,Den_Haag_2006b,323.0,1945.0,False,0
AB541195.1,72.055885,4762,7516,2751,GII.P4,Apeldoorn_2007,,,,GII.4,Den_Haag_2006b,323.0,1945.0,False,0
AB541212.1,85.00501,109,7519,7404,GII.P4,Den_Haag_2006b,,,,GII.4,Den_Haag_2006b,4976.0,6598.0,False,0
AB541221.1,84.80441,109,7519,7404,GII.P4,Apeldoorn_2007,,,,GII.4,Den_Haag_2006b,4976.0,6598.0,False,0
PP587395.1,89.19149,78,7543,7465,GII.P12,None,3494.0,5023.0,annotated_rdrp,GII.3,None,5007.0,6653.0,True,17
LC646332.1,76.51304,12,7492,7480,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.2,None,5073.0,6701.0,True,20
LC646333.1,76.521736,14,7492,7478,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.2,None,5071.0,6699.0,True,20
LC644992.1,75.74615,25,7436,7417,GII.P17,None,3500.0,5088.0,polyprotein_fallback,GII.17,None,5069.0,6688.0,True,20
LC644993.1,85.427895,11,7512,7501,GII.P31,None,3500.0,5093.0,polyprotein_fallback,GII.4,Sydney_2012,5074.0,6696.0,True,20
MN416944.1,86.23636,3322,7530,4205,GII.P7,None,250.0,1779.0,annotated_rdrp,GII.6,None,1763.0,3406.0,True,17
MN416945.1,88.77323,569,6991,6422,GII.P12,None,3003.0,4532.0,annotated_rdrp,GII.3,None,4516.0,6162.0,True,17
MN416946.1,87.732086,166,7431,7262,GII.P7,None,3406.0,4935.0,annotated_rdrp,GII.6,None,4919.0,6562.0,True,17
LC509011.1,72.43976,461,7537,7076,GII.P11,None,1.0,4640.0,annotated_rdrp,GII.11,None,,,False,0
MK956197.1,85.626175,3487,7210,3720,GII.P7,None,85.0,1614.0,annotated_rdrp,GII.6,None,1598.0,3241.0,True,17
MK956198.1,87.112076,2422,7475,5050,GII.P7,None,1150.0,2679.0,annotated_rdrp,GII.6,None,2663.0,4306.0,True,17
MK956199.1,86.55189,2854,7147,4290,GII.P7,None,718.0,2247.0,annotated_rdrp,GII.6,None,2231.0,3874.0,True,17
MK907785.1,84.894714,66,7569,7497,GII.P31,None,3506.0,5035.0,annotated_rdrp,GII.4,Sydney_2012,5019.0,6641.0,True,17
MK907786.1,87.52694,42,7466,7421,GII.P7,None,3530.0,5059.0,annotated_rdrp,GII.6,None,5043.0,6686.0,True,17
MK907787.1,80.96813,205,7425,7220,GII.P21,None,3367.0,4896.0,annotated_rdrp,GII.3,None,4880.0,6526.0,True,17
MK907788.1,84.77864,66,6898,6826,GII.P31,None,3506.0,5035.0,annotated_rdrp,GII.4,Sydney_2012,5019.0,6641.0,True,17
MK907789.1,87.46301,45,7479,7431,GII.P7,None,3527.0,5056.0,annotated_rdrp,GII.6,None,5040.0,6683.0,True,17
MK907790.1,75.57666,202,7548,7343,GII.P17,None,3370.0,4899.0,annotated_rdrp,GII.17,None,4883.0,6499.0,True,17
MK907791.1,75.88561,693,7205,6509,GII.P17,None,2879.0,4408.0,annotated_rdrp,GII.17,None,4392.0,6014.0,True,17
MK907792.1,72.32635,4299,7543,3241,GII.P25,None,1.0,802.0,annotated_rdrp,GII.17,None,786.0,2408.0,True,17
MK907793.1,74.03282,4406,7535,3126,GII.P17,None,1.0,695.0,annotated_rdrp,GII.17,None,679.0,2301.0,True,17
MK907802.1,77.090454,2894,7492,4598,GII.P16,None,678.0,2207.0,annotated_rdrp,GII.2,None,2191.0,3819.0,True,17
LC369215.1,75.82543,5,7575,7576,GII.P17,None,3500.0,5108.0,polyprotein_fallback,GII.17,None,5089.0,6711.0,True,20
LC369216.1,75.818596,15,7533,7524,GII.P17,None,3500.0,5098.0,polyprotein_fallback,GII.17,None,5079.0,6701.0,True,20
LC369217.1,75.78586,15,7533,7524,GII.P17,None,3500.0,5098.0,polyprotein_fallback,GII.17,None,5079.0,6701.0,True,20
LC369218.1,75.813576,8,7535,7533,GII.P17,None,3500.0,5105.0,polyprotein_fallback,GII.17,None,5086.0,6708.0,True,20
LC369220.1,75.75708,14,7568,7560,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6702.0,True,20
LC369221.1,75.822556,14,7535,7527,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6702.0,True,20
AB541348.1,83.974045,112,7516,7401,GII.P4,Den_Haag_2006b,,,,GII.4,Den_Haag_2006b,4973.0,6595.0,False,0
LC877021.1,86.75643,27,7484,7460,GII.P7,None,3500.0,5077.0,polyprotein_fallback,GII.7,None,,,False,0
LC877022.1,86.619,20,7471,7454,GII.P7,None,3500.0,5084.0,polyprotein_fallback,GII.7,None,,,False,0
LC877023.1,86.73939,27,7498,7474,GII.P7,None,3500.0,5077.0,polyprotein_fallback,GII.7,None,,,False,0
LC877024.1,86.7597,18,7498,7483,GII.P7,None,3500.0,5086.0,polyprotein_fallback,GII.7,None,,,False,0
LC877025.1,86.64744,24,7496,7475,GII.P7,None,3500.0,5080.0,polyprotein_fallback,GII.7,None,,,False,0
LC877026.1,86.53486,27,7497,7473,GII.P7,None,3500.0,5077.0,polyprotein_fallback,GII.7,None,,,False,0
LC877027.1,86.688255,27,7484,7460,GII.P7,None,3500.0,5077.0,polyprotein_fallback,GII.7,None,,,False,0
LC877028.1,86.69163,18,7484,7469,GII.P7,None,3500.0,5086.0,polyprotein_fallback,GII.7,None,,,False,0
LC877029.1,86.65417,27,7498,7474,GII.P7,None,3500.0,5077.0,polyprotein_fallback,GII.7,None,,,False,0
LC877030.1,86.59705,52,7497,7448,GII.P7,None,3500.0,5052.0,polyprotein_fallback,GII.7,None,,,False,0
LC877031.1,86.59285,24,7498,7477,GII.P7,None,3500.0,5080.0,polyprotein_fallback,GII.7,None,,,False,0
LC877032.1,86.64395,24,7495,7474,GII.P7,None,3500.0,5080.0,polyprotein_fallback,GII.7,None,,,False,0
LC877034.1,86.773476,27,7498,7474,GII.P7,None,3500.0,5077.0,polyprotein_fallback,GII.7,None,,,False,0
LC790052.1,85.49152,17,7534,7517,GII.P31,None,3500.0,5087.0,polyprotein_fallback,GII.4,Could not assign,5068.0,6690.0,True,20
LC790053.1,85.26138,17,7522,7505,GII.P31,None,3500.0,5087.0,polyprotein_fallback,GII.4,Sydney_2012,5068.0,6690.0,True,20
LC790054.1,85.29065,12,7543,7531,GII.P31,None,3500.0,5092.0,polyprotein_fallback,GII.4,Sydney_2012,5073.0,6695.0,True,20
LC790056.1,87.261826,23,7537,7511,GII.P7,None,3500.0,5081.0,polyprotein_fallback,GII.6,None,5062.0,6705.0,True,20
LC790057.1,75.90361,14,7635,7615,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2016,5071.0,6693.0,True,20
LC790058.1,75.83759,14,7560,7540,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2016,5071.0,6693.0,True,20
LC790059.1,75.86605,11,7558,7541,GII.P16,None,3500.0,5093.0,polyprotein_fallback,GII.4,Sydney_2016,5074.0,6696.0,True,20
LC790060.1,76.182465,12,7554,7542,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.4,Sydney_2016,5073.0,6695.0,True,20
LC790061.1,76.062035,21,7552,7531,GII.P16,None,3500.0,5083.0,polyprotein_fallback,GII.4,Sydney_2016,5064.0,6686.0,True,20
LC790062.1,76.414635,12,7502,7490,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.2,None,5073.0,6701.0,True,20
LC790063.1,75.99154,393,7533,7128,GII.P16,None,,,,GII.4,Sydney_2016,4686.0,6308.0,False,0
LC790064.1,75.85354,10,7556,7540,GII.P16,None,3500.0,5094.0,polyprotein_fallback,GII.4,Sydney_2016,5075.0,6697.0,True,20
LC790065.1,75.788086,14,7556,7536,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2016,5071.0,6693.0,True,20
LC790066.1,75.767586,15,7559,7538,GII.P16,None,3500.0,5089.0,polyprotein_fallback,GII.4,Sydney_2016,5070.0,6692.0,True,20
LC790067.1,75.57891,14,7533,7513,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2016,5071.0,6693.0,True,20
LC790068.1,75.79156,9,7554,7539,GII.P16,None,3500.0,5095.0,polyprotein_fallback,GII.4,Sydney_2016,5076.0,6698.0,True,20
LC790069.1,76.48118,394,7548,7148,GII.P16,None,,,,GII.4,Sydney_2016,4685.0,6307.0,False,0
LC790070.1,75.77671,54,7559,7499,GII.P16,None,3500.0,5050.0,polyprotein_fallback,GII.4,Sydney_2016,5031.0,6653.0,True,20
ON706287.1,95.13815,16,7547,7528,GII.P7,None,3556.0,5085.0,annotated_rdrp,GII.6,None,5069.0,6721.0,True,17
ON706288.1,95.10275,46,7544,7495,GII.P7,None,3526.0,5055.0,annotated_rdrp,GII.6,None,5039.0,6691.0,True,17
ON706289.1,93.31986,107,7537,7427,GII.P7,None,3465.0,4994.0,annotated_rdrp,GII.6,None,4978.0,6630.0,True,17
ON706290.1,94.56929,1666,7545,5876,GII.P7,None,1906.0,3435.0,annotated_rdrp,GII.6,None,3419.0,5071.0,True,17
ON706294.1,95.55417,3757,6954,3194,GII.P7,None,1.0,1344.0,annotated_rdrp,GII.6,None,1328.0,2980.0,True,17
ON706295.1,95.62661,4795,7519,2721,GII.P7,None,1.0,306.0,annotated_rdrp,GII.6,None,290.0,1942.0,True,17
LC369224.1,75.8141,12,7560,7554,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6704.0,True,20
LC369225.1,75.89592,12,7555,7549,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6704.0,True,20
LC369227.1,75.83838,10,7569,7565,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369228.1,75.72387,10,7622,7618,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369229.1,75.72387,10,7555,7551,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369230.1,75.74023,10,7555,7551,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369231.1,75.65843,10,7555,7551,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369232.1,75.756584,10,7560,7556,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369233.1,75.72387,10,7599,7595,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369234.1,75.74815,8,7615,7613,GII.P17,None,3500.0,5105.0,polyprotein_fallback,GII.17,None,5086.0,6708.0,True,20
LC369235.1,75.74815,8,7589,7587,GII.P17,None,3500.0,5105.0,polyprotein_fallback,GII.17,None,5086.0,6708.0,True,20
LC369237.1,75.743706,5,7607,7608,GII.P17,None,3500.0,5108.0,polyprotein_fallback,GII.17,None,5089.0,6711.0,True,20
LC369238.1,75.6907,6,7556,7556,GII.P17,None,3500.0,5107.0,polyprotein_fallback,GII.17,None,5088.0,6710.0,True,20
LC369239.1,75.70797,14,7557,7549,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6702.0,True,20
LC369240.1,75.699554,12,7560,7554,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6704.0,True,20
LC369242.1,75.85812,5,7588,7589,GII.P17,None,3500.0,5108.0,polyprotein_fallback,GII.17,None,5089.0,6711.0,True,20
LC369243.1,75.732285,12,7557,7551,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6704.0,True,20
LC369245.1,75.82543,5,7554,7555,GII.P17,None,3500.0,5108.0,polyprotein_fallback,GII.17,None,5089.0,6711.0,True,20
LC369246.1,75.92078,14,7555,7547,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6702.0,True,20
LC369247.1,75.75708,14,7555,7547,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6702.0,True,20
LC369248.1,75.78982,14,7555,7547,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6702.0,True,20
LC369249.1,75.830475,12,7555,7549,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6704.0,True,20
LC369251.1,75.077835,15,7536,7539,GII.P17,None,3500.0,5098.0,polyprotein_fallback,GII.17,None,5079.0,6695.0,True,20
LC369252.1,75.78586,15,7554,7545,GII.P17,None,3500.0,5098.0,polyprotein_fallback,GII.17,None,5079.0,6701.0,True,20
LC369253.1,75.78586,15,7555,7546,GII.P17,None,3500.0,5098.0,polyprotein_fallback,GII.17,None,5079.0,6701.0,True,20
LC369255.1,75.82202,10,7592,7588,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369256.1,75.7893,10,7559,7555,GII.P17,None,3500.0,5103.0,polyprotein_fallback,GII.17,None,5084.0,6706.0,True,20
LC369257.1,75.70705,5,7589,7590,GII.P17,None,3500.0,5108.0,polyprotein_fallback,GII.17,None,5089.0,6711.0,True,20
LC369258.1,75.74355,54,7535,7484,GII.P17,None,3500.0,5056.0,polyprotein_fallback,GII.17,None,5037.0,6659.0,True,20
LC209431.1,76.32961,12,7532,7514,GII.P16,None,3500.0,5086.0,polyprotein_fallback,GII.2,None,5067.0,6695.0,True,20
LC209432.1,76.20062,15,7536,7515,GII.P16,None,3500.0,5083.0,polyprotein_fallback,GII.2,None,5064.0,6692.0,True,20
LC209433.1,76.32011,6,7551,7539,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.2,None,5073.0,6701.0,True,20
LC209434.1,76.184235,15,7536,7515,GII.P16,None,3500.0,5083.0,polyprotein_fallback,GII.2,None,5064.0,6692.0,True,20
LC209435.1,90.099815,5,7535,7530,GII.P12,None,3500.0,5099.0,polyprotein_fallback,GII.2,None,5080.0,6708.0,True,20
LC209436.1,77.93973,10,7536,7526,GII.P2,None,3500.0,5094.0,polyprotein_fallback,GII.2,None,5075.0,6703.0,True,20
LC209437.1,77.97248,10,7529,7519,GII.P2,None,3500.0,5094.0,polyprotein_fallback,GII.2,None,5075.0,6703.0,True,20
LC209438.1,77.97054,6,7529,7523,GII.P2,None,3500.0,5098.0,polyprotein_fallback,GII.2,None,5079.0,6707.0,True,20
LC209440.1,78.02956,14,7533,7519,GII.P2,None,3500.0,5090.0,polyprotein_fallback,GII.2,None,5071.0,6699.0,True,20
