Genome	Primer	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+),reverse_primer_var4 (+)	++	FAIL	M3,3	D5015	20434711:20434729:+,20439745:20439763:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	1031297:1031313:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	42812269:42812286:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	58321894:58321911:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	60251325:60251342:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	70439337:70439354:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	72757462:72757480:-
OX387705.1	reverse_primer_var6	lin	reverse_primer_var6 (+)	+	pass	M3	D	10034488:10034506:+
OX387705.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	71009982:71010000:+
OX387705.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	72282406:72282424:-
OX387705.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	82195988:82196006:-
OX387705.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	107244657:107244675:-
OX387705.1	reverse_primer_var8	lin	reverse_primer_var8 (+)	+	pass	M3	D	24927175:24927192:+
OX387705.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	104019380:104019398:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	18702249:18702267:+
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	20403384:20403402:+
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	21133003:21133021:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	37623996:37624012:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	71742123:71742141:+
OX387706.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	21133003:21133021:-
OX387706.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	60728843:60728861:-
OX387706.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	60728875:60728893:-
OX387706.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	60728907:60728925:-
OX387706.1	reverse_primer_var2	lin	reverse_primer_var2 (+)	+	pass	M3	D	80839962:80839980:+
OX387706.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	555553:555571:-
OX387706.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	50846712:50846730:-
OX387706.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	6405832:6405850:+
OX387706.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	20229117:20229135:+
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	37000276:37000294:+
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	59573173:59573190:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	59787838:59787855:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	59789517:59789534:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	75698850:75698868:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	75825172:75825190:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	76038891:76038909:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	76143814:76143832:-
OX387706.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	88484122:88484140:-
OX387706.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	84216555:84216573:-
OX387706.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	33867745:33867763:+
OX387706.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	82464010:82464028:+
OX387706.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	85201568:85201585:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	19277554:19277571:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	26160674:26160689:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	26168268:26168283:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	31722750:31722768:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	47403532:47403549:-
OX387707.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M2	D	19277554:19277571:-
OX387707.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	15746490:15746507:+
OX387707.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	18579332:18579350:-
OX387707.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	19277554:19277571:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	14637510:14637528:+
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	27184714:27184731:+
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	31722750:31722768:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	57301150:57301168:-
OX387707.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	58731763:58731780:-
OX387707.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	19277554:19277570:-
OX387707.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3*	D	76616055:76616072:-
OX387707.1	reverse_primer_var8	lin	reverse_primer_var8 (+)	+	pass	M3	D	17687376:17687394:+
OX387707.1	reverse_primer_var8	lin	reverse_primer_var8 (+)	+	pass	M3	D	53551194:53551212:+
OX387707.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	74448006:74448024:-
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	13008607:13008623:-
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	23344731:23344748:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	56942036:56942053:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	57017490:57017507:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	57092938:57092955:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	57152505:57152522:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	68495743:68495761:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	85384635:85384653:-
OX387708.1	reverse_primer_var2	lin	reverse_primer_var2 (+)	+	pass	M3*	D	67738365:67738382:+
OX387708.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	22498527:22498544:+
OX387708.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	64618061:64618078:-
OX387708.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	10537551:10537569:-
OX387708.1	reverse_primer_var6	lin	reverse_primer_var6 (+)	+	pass	M3	D	12382461:12382479:+
OX387708.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	64618061:64618078:-
OX387708.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3*	D	74752748:74752763:-
OX387708.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	48826018:48826036:+
OX387708.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	50071623:50071641:-
OX387708.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	66268732:66268750:+
OX387708.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	75374648:75374666:-
OX387708.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	93197139:93197157:-
OX387708.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	50071623:50071641:-
OX387709.1	forward_primer_var3	lin	forward_primer_var3 (-)	-	pass	M3	D	22595527:22595549:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M2	D	28257758:28257776:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	54480380:54480397:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	68768453:68768468:+
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	83840824:83840842:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	84117918:84117935:+
OX387709.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	28257758:28257776:-
OX387709.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	1849292:1849310:-
OX387709.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	1858522:1858540:+
OX387709.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	6458603:6458621:-
OX387709.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	22605598:22605615:-
OX387709.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	74219169:74219186:-
OX387709.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	22605598:22605615:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	6458603:6458621:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	28257758:28257776:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	57808444:57808462:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	71893967:71893985:-
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	72814272:72814290:+
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	74693652:74693670:+
OX387709.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	83840824:83840842:-
OX387709.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	82090205:82090223:-
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M2	D	6458603:6458621:-
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	6299543:6299561:-
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3*	D	9728634:9728651:-
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3*	D	35524934:35524950:-
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	46943837:46943854:-
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	75043953:75043971:+
OX387709.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	85769905:85769922:-
OX387709.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	6458603:6458621:-
OX387709.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	58488010:58488027:-
OX387709.1	reverse_primer_var8	lin	reverse_primer_var8 (-)	-	pass	M3	D	85769905:85769922:-
OX387710.1	forward_primer_var3	lin	forward_primer_var3 (-)	-	pass	M3	D	21978185:21978207:-
OX387710.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	26715434:26715452:+
OX387710.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	85370859:85370876:-
OX387710.1	reverse_primer_var2	lin	reverse_primer_var2 (+)	+	pass	M3	D	58169625:58169643:+
OX387710.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	7184461:7184479:-
OX387710.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	27673118:27673135:+
OX387710.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	53183773:53183791:-
OX387710.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	81193036:81193054:+
OX387710.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	19646650:19646668:-
OX387710.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	60999925:60999942:+
OX387710.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	13076325:13076343:-
OX387710.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	19324925:19324943:-
OX387710.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	20080203:20080221:+
OX387710.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	66084546:66084564:+
OX387710.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3*	D	80227253:80227268:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3*	D	17708694:17708709:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	40796928:40796946:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	40883393:40883411:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	42569807:42569825:+
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	60335182:60335200:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	18851290:18851308:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	51651102:51651120:-
OX387711.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	51661200:51661218:-
OX387711.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	15094022:15094040:-
OX387711.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3*	D	4773266:4773282:+
OX387711.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3*	D	6823776:6823793:+
OX387711.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3*	D	63587267:63587284:+
OX387711.1	reverse_primer_var8	lin	reverse_primer_var8 (+)	+	pass	M3	D	36486947:36486965:+
OX387711.1	reverse_primer_var8	lin	reverse_primer_var8 (+)	+	pass	M3*	D	61216411:61216428:+
OX387712.1	forward_primer_var1	lin	forward_primer_var1 (+)	+	pass	M3*	D	40332548:40332569:+
OX387712.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	31445132:31445150:-
OX387712.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	50877347:50877365:+
OX387712.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	35238417:35238435:-
OX387712.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	6990137:6990155:+
OX387712.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	16551427:16551445:-
OX387712.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	71234404:71234422:+
OX387712.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	39580384:39580402:+
OX387712.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	53731483:53731500:+
OX387712.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	17594894:17594912:+
OX387712.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	32964987:32965005:-
OX387712.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3*	D	45978591:45978608:+
OX387712.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3*	D	54943792:54943809:+
OX387712.1	reverse_primer_var6	lin	reverse_primer_var6 (-)	-	pass	M3	D	32964987:32965005:-
OX387712.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	33251084:33251102:+
OX387712.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	46033297:46033315:+
OX387712.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	50484509:50484527:+
OX387712.1	reverse_primer_var8	lin	reverse_primer_var8 (+)	+	pass	M3*	D	73587377:73587394:+
OX387713.1	forward_primer_var2	lin	forward_primer_var2 (+)	+	pass	M3	D	35453177:35453199:+
OX387713.1	forward_primer_var3	lin	forward_primer_var3 (+)	+	pass	M3	D	29362581:29362603:+
OX387713.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M2	D	9914806:9914824:-
OX387713.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	18360701:18360719:-
OX387713.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	18360701:18360719:-
OX387713.1	reverse_primer_var2	lin	reverse_primer_var2 (+)	+	pass	M3	D	19444005:19444023:+
OX387713.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	9914806:9914824:-
OX387713.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	12353131:12353149:+
OX387713.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	16640643:16640661:+
OX387713.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	33236762:33236780:+
