Genome	forward_primer_var1	forward_primer_var2	forward_primer_var3	forward_primer_var4	forward_primer_var5	forward_primer_var6	forward_primer_var7	forward_primer_var8	reverse_primer_var1,reverse_primer_var5	reverse_primer_var1,reverse_primer_var7	reverse_primer_var2	reverse_primer_var3	reverse_primer_var4,reverse_primer_var4	reverse_primer_var6	reverse_primer_var8
CANOQP010000017.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000018.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000019.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000020.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000021.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000022.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000023.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000024.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000025.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000026.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000027.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000028.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000029.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000030.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000031.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000032.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000033.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000034.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000035.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000036.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000037.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000038.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000039.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000040.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000041.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000042.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
OX387714.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
lcl|L22089.1_cds_AAA46547.1_1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
OY970745.1	lin R3-	lin F3+	lin R3-	none	none	none	none	none	lin R3-	lin F3+	lin R3-	lin R3-	lin R3-	none	none
OY970746.1	none	lin R3-	lin R3-	none	lin R3-	lin R2-	none	lin R3-	lin F3+	lin R3-	lin R3-	none	lin F3+	lin R3-	lin F3+
OY970747.1	none	none	none	none	none	none	none	none	lin R3-	lin R2-	lin F3+	lin R3-	lin R3-	none	lin R3-
OY970748.1	none	none	lin R3-	lin R3-	none	none	lin R3-	none	lin F3+	lin F3+	lin F3+	lin R3-	lin R3-	none	none
OY970749.1	none	none	none	none	lin F3+	none	none	none	lin R3-	lin F3+	lin F3+	none	none	lin F3+	none
OY970750.1	lin F3+	none	none	none	none	none	none	none	lin F3+	lin R3-	lin R3-	lin F3+	none	lin R3-	none
OY970751.1	none	lin R3-	none	none	none	none	none	none	lin F3+	lin R3-	lin F3+	lin R3-	lin F3+	lin R3-	none
OY970752.1	none	none	lin R3-	none	none	none	none	lin F3+	lin F3+	lin F3+	lin F3+	none	none	lin R3-	none
OY970753.1	none	none	none	none	none	none	none	none	lin R3-	lin R3-	lin R3-	lin F3+	none	lin F3+	lin F3+
OY970754.1	none	none	none	none	lin R3-	none	none	none	lin F3+	lin R2-	lin F3+	lin R3-	none	none	lin R3-
CAWKXY010000001.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000002.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000003.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000004.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000005.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000006.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000007.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000008.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000009.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000010.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000011.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000012.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000013.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000014.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000015.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000016.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000017.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000018.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CAWKXY010000019.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
OY970755.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
